city,country,population,is_capital,start,end,duration_days,max_temp,avg_temp,year
London,United Kingdom,8961989,True,1983-07-13,1983-07-15,3,29.2,28.8,1983
London,United Kingdom,8961989,True,1990-07-31,1990-08-03,4,33.7,31.6,1990
London,United Kingdom,8961989,True,1995-07-30,1995-08-02,4,30.2,29.3,1995
London,United Kingdom,8961989,True,1999-07-30,1999-08-01,3,29.5,29.0,1999
London,United Kingdom,8961989,True,2003-08-07,2003-08-11,5,34.7,30.7,2003
London,United Kingdom,8961989,True,2006-07-01,2006-07-03,3,28.8,28.4,2006
London,United Kingdom,8961989,True,2006-07-16,2006-07-20,5,31.4,29.6,2006
London,United Kingdom,8961989,True,2017-06-17,2017-06-20,4,31.6,29.8,2017
London,United Kingdom,8961989,True,2018-07-05,2018-07-07,3,29.4,28.9,2018
London,United Kingdom,8961989,True,2018-07-24,2018-07-26,3,32.7,31.0,2018
London,United Kingdom,8961989,True,2019-07-22,2019-07-24,3,35.2,32.0,2019
London,United Kingdom,8961989,True,2019-08-24,2019-08-26,3,31.4,31.0,2019
London,United Kingdom,8961989,True,2020-06-23,2020-06-25,3,30.0,29.3,2020
London,United Kingdom,8961989,True,2020-08-06,2020-08-11,6,33.8,32.4,2020
London,United Kingdom,8961989,True,2022-07-16,2022-07-18,3,37.9,34.1,2022
London,United Kingdom,8961989,True,2022-08-09,2022-08-14,6,32.8,30.9,2022
London,United Kingdom,8961989,True,2023-09-05,2023-09-09,5,31.4,30.2,2023
London,United Kingdom,8961989,True,2025-06-17,2025-06-20,4,32.0,30.2,2025
London,United Kingdom,8961989,True,2025-06-27,2025-06-30,4,33.6,31.3,2025
London,United Kingdom,8961989,True,2025-07-09,2025-07-11,3,31.6,30.1,2025
Berlin,Germany,3426354,True,1982-05-31,1982-06-04,5,31.9,30.4,1982
Berlin,Germany,3426354,True,1992-06-01,1992-06-04,4,28.8,28.5,1992
Berlin,Germany,3426354,True,1992-08-07,1992-08-09,3,37.6,35.6,1992
Berlin,Germany,3426354,True,1994-07-21,1994-07-31,11,36.6,33.2,1994
Berlin,Germany,3426354,True,1997-08-23,1997-08-25,3,31.1,30.4,1997
Berlin,Germany,3426354,True,2000-06-18,2000-06-21,4,34.3,31.9,2000
Berlin,Germany,3426354,True,2003-06-01,2003-06-04,4,30.7,29.5,2003
Berlin,Germany,3426354,True,2006-07-04,2006-07-06,3,32.3,31.3,2006
Berlin,Germany,3426354,True,2006-07-17,2006-07-21,5,35.3,32.2,2006
Berlin,Germany,3426354,True,2006-07-25,2006-07-27,3,33.9,32.3,2006
Berlin,Germany,3426354,True,2008-05-30,2008-06-02,4,29.0,28.6,2008
Berlin,Germany,3426354,True,2010-07-01,2010-07-03,3,31.5,31.1,2010
Berlin,Germany,3426354,True,2010-07-08,2010-07-11,4,36.0,34.8,2010
Berlin,Germany,3426354,True,2014-06-07,2014-06-09,3,31.7,30.5,2014
Berlin,Germany,3426354,True,2015-07-02,2015-07-04,3,35.5,34.4,2015
Berlin,Germany,3426354,True,2015-08-05,2015-08-07,3,36.1,33.9,2015
Berlin,Germany,3426354,True,2016-06-22,2016-06-24,3,32.8,31.3,2016
Berlin,Germany,3426354,True,2016-08-24,2016-08-27,4,34.6,31.7,2016
Berlin,Germany,3426354,True,2016-09-10,2016-09-13,4,31.0,29.9,2016
Berlin,Germany,3426354,True,2017-05-27,2017-05-29,3,30.0,28.9,2017
Berlin,Germany,3426354,True,2018-05-27,2018-05-31,5,31.1,30.4,2018
Berlin,Germany,3426354,True,2018-06-07,2018-06-09,3,30.4,29.4,2018
Berlin,Germany,3426354,True,2018-07-24,2018-07-27,4,32.2,31.3,2018
Berlin,Germany,3426354,True,2018-07-29,2018-08-03,6,34.8,32.3,2018
Berlin,Germany,3426354,True,2018-08-06,2018-08-08,3,36.6,35.1,2018
Berlin,Germany,3426354,True,2019-05-31,2019-06-05,6,33.6,30.8,2019
Berlin,Germany,3426354,True,2019-07-23,2019-07-25,3,34.0,32.6,2019
Berlin,Germany,3426354,True,2019-08-24,2019-08-31,8,32.5,30.6,2019
Berlin,Germany,3426354,True,2020-08-06,2020-08-12,7,35.4,32.5,2020
Berlin,Germany,3426354,True,2020-09-13,2020-09-15,3,30.2,29.1,2020
Berlin,Germany,3426354,True,2021-06-16,2021-06-20,5,34.5,32.8,2021
Berlin,Germany,3426354,True,2023-07-07,2023-07-09,3,31.6,30.8,2023
Berlin,Germany,3426354,True,2023-09-05,2023-09-11,7,30.2,29.4,2023
Berlin,Germany,3426354,True,2024-09-02,2024-09-07,6,33.6,31.4,2024
Berlin,Germany,3426354,True,2025-06-30,2025-07-02,3,37.6,33.6,2025
Berlin,Germany,3426354,True,2025-08-12,2025-08-14,3,33.0,32.4,2025
Madrid,Spain,3255944,True,1981-06-10,1981-06-16,7,37.7,35.7,1981
Madrid,Spain,3255944,True,1983-06-09,1983-06-11,3,35.2,34.8,1983
Madrid,Spain,3255944,True,1987-08-11,1987-08-14,4,39.5,38.0,1987
Madrid,Spain,3255944,True,1987-09-12,1987-09-14,3,35.0,34.6,1987
Madrid,Spain,3255944,True,1988-09-05,1988-09-07,3,37.6,36.9,1988
Madrid,Spain,3255944,True,1991-07-15,1991-07-17,3,38.2,37.9,1991
Madrid,Spain,3255944,True,1991-08-14,1991-08-16,3,37.6,37.1,1991
Madrid,Spain,3255944,True,1994-06-28,1994-07-01,4,38.0,36.8,1994
Madrid,Spain,3255944,True,1995-07-17,1995-07-23,7,40.0,38.8,1995
Madrid,Spain,3255944,True,2001-05-27,2001-06-02,7,34.3,33.2,2001
Madrid,Spain,3255944,True,2001-06-20,2001-06-23,4,38.2,36.9,2001
Madrid,Spain,3255944,True,2002-06-14,2002-06-17,4,36.8,35.5,2002
Madrid,Spain,3255944,True,2003-06-10,2003-06-12,3,35.3,34.8,2003
Madrid,Spain,3255944,True,2003-07-30,2003-08-03,5,39.2,38.4,2003
Madrid,Spain,3255944,True,2004-06-26,2004-06-28,3,37.6,37.4,2004
Madrid,Spain,3255944,True,2005-05-24,2005-05-27,4,33.4,32.1,2005
Madrid,Spain,3255944,True,2006-05-26,2006-05-28,3,33.0,32.1,2006
Madrid,Spain,3255944,True,2006-08-31,2006-09-03,4,36.0,35.7,2006
Madrid,Spain,3255944,True,2009-06-11,2009-06-13,3,36.7,35.7,2009
Madrid,Spain,3255944,True,2011-10-10,2011-10-13,4,29.8,29.1,2011
Madrid,Spain,3255944,True,2012-05-09,2012-05-13,5,32.1,31.3,2012
Madrid,Spain,3255944,True,2012-06-23,2012-06-26,4,39.0,37.0,2012
Madrid,Spain,3255944,True,2012-08-08,2012-08-10,3,39.4,38.7,2012
Madrid,Spain,3255944,True,2012-08-16,2012-08-21,6,38.0,37.0,2012
Madrid,Spain,3255944,True,2015-05-09,2015-05-13,5,35.4,32.7,2015
Madrid,Spain,3255944,True,2015-06-26,2015-06-29,4,38.6,37.6,2015
Madrid,Spain,3255944,True,2015-07-02,2015-07-08,7,38.6,37.4,2015
Madrid,Spain,3255944,True,2015-07-12,2015-07-15,4,38.2,37.6,2015
Madrid,Spain,3255944,True,2016-09-03,2016-09-06,4,38.3,37.5,2016
Madrid,Spain,3255944,True,2017-05-22,2017-05-26,5,32.8,32.2,2017
Madrid,Spain,3255944,True,2017-06-09,2017-06-17,9,39.8,37.3,2017
Madrid,Spain,3255944,True,2017-06-20,2017-06-23,4,35.8,35.6,2017
Madrid,Spain,3255944,True,2017-07-12,2017-07-15,4,40.2,38.5,2017
Madrid,Spain,3255944,True,2017-08-20,2017-08-22,3,36.4,36.2,2017
Madrid,Spain,3255944,True,2017-10-11,2017-10-14,4,28.8,28.4,2017
Madrid,Spain,3255944,True,2018-06-22,2018-06-24,3,36.8,36.1,2018
Madrid,Spain,3255944,True,2018-08-01,2018-08-05,5,39.6,38.3,2018
Madrid,Spain,3255944,True,2019-05-31,2019-06-02,3,33.6,32.9,2019
Madrid,Spain,3255944,True,2019-06-26,2019-06-29,4,40.3,39.1,2019
Madrid,Spain,3255944,True,2019-07-19,2019-07-22,4,38.2,37.7,2019
Madrid,Spain,3255944,True,2020-05-20,2020-05-22,3,32.0,31.5,2020
Madrid,Spain,3255944,True,2020-07-05,2020-07-07,3,38.4,37.9,2020
Madrid,Spain,3255944,True,2020-07-29,2020-07-31,3,38.4,38.1,2020
Madrid,Spain,3255944,True,2020-08-24,2020-08-26,3,36.8,36.4,2020
Madrid,Spain,3255944,True,2021-06-07,2021-06-09,3,34.6,34.2,2021
Madrid,Spain,3255944,True,2021-08-10,2021-08-14,5,41.5,39.4,2021
Madrid,Spain,3255944,True,2022-05-17,2022-05-20,4,34.8,33.5,2022
Madrid,Spain,3255944,True,2022-06-09,2022-06-17,9,40.1,37.6,2022
Madrid,Spain,3255944,True,2022-07-08,2022-07-17,10,41.3,39.2,2022
Madrid,Spain,3255944,True,2022-07-20,2022-07-24,5,39.6,38.3,2022
Madrid,Spain,3255944,True,2023-04-24,2023-04-27,4,32.1,30.5,2023
Madrid,Spain,3255944,True,2023-06-24,2023-06-28,5,38.4,37.0,2023
Madrid,Spain,3255944,True,2023-07-16,2023-07-18,3,38.8,38.3,2023
Madrid,Spain,3255944,True,2023-08-07,2023-08-12,6,40.0,38.5,2023
Madrid,Spain,3255944,True,2023-08-19,2023-08-24,6,39.0,38.5,2023
Madrid,Spain,3255944,True,2023-10-04,2023-10-07,4,30.7,30.2,2023
Madrid,Spain,3255944,True,2024-06-04,2024-06-06,3,35.5,34.4,2024
Madrid,Spain,3255944,True,2024-07-22,2024-07-27,6,40.4,38.8,2024
Madrid,Spain,3255944,True,2024-08-02,2024-08-10,9,39.8,38.3,2024
Madrid,Spain,3255944,True,2025-05-26,2025-05-31,6,34.6,33.7,2025
Madrid,Spain,3255944,True,2025-06-07,2025-06-09,3,36.7,35.2,2025
Madrid,Spain,3255944,True,2025-06-14,2025-06-22,9,37.2,36.3,2025
Madrid,Spain,3255944,True,2025-06-26,2025-07-03,8,40.2,37.6,2025
Madrid,Spain,3255944,True,2025-07-14,2025-07-16,3,38.6,37.9,2025
Madrid,Spain,3255944,True,2025-08-03,2025-08-11,9,39.2,38.4,2025
Madrid,Spain,3255944,True,2025-08-13,2025-08-16,4,40.7,39.0,2025
Madrid,Spain,3255944,True,2025-09-16,2025-09-18,3,35.4,34.6,2025
Kyiv,Ukraine,2952301,True,1981-06-07,1981-06-10,4,30.5,30.3,1981
Kyiv,Ukraine,2952301,True,1989-07-10,1989-07-12,3,30.3,30.1,1989
Kyiv,Ukraine,2952301,True,1992-08-14,1992-08-16,3,32.2,30.8,1992
Kyiv,Ukraine,2952301,True,1992-08-28,1992-08-30,3,31.6,30.7,1992
Kyiv,Ukraine,2952301,True,1994-08-06,1994-08-08,3,31.2,30.4,1994
Kyiv,Ukraine,2952301,True,1998-08-01,1998-08-03,3,32.7,31.4,1998
Kyiv,Ukraine,2952301,True,1999-07-05,1999-07-07,3,33.1,31.9,1999
