large_city,large_city_population,comparison_place,size_class,population,distance_km,search_radius_km,lat,lon,municipality_key,wikidata_id
Berlin,3782202,Berlin,large,3782202,0.0,0,52.516666666,13.383333333,11000000,Q64
Berlin,3782202,Teltow,medium,27880,14.843478754366757,30,52.402222222,13.270555555,12069616,Q572512
Berlin,3782202,Velten,small,12733,23.976320952620917,30,52.691388888,13.175277777,12065332,Q585613
Berlin,3782202,Gosen-Neu Zittau,rural,3428,26.19932495081367,30,52.393333333,13.712777777,12067173,Q624117
Hamburg,1910160,Hamburg,large,1910160,0.0,0,53.55,10.0,02000000,Q1055
Hamburg,1910160,Reinbek,medium,28579,17.03837927334834,30,53.508888888,10.248333333,01062060,Q516405
Hamburg,1910160,Schenefeld,small,19817,13.057085992464073,30,53.602777777,9.823333333,01056044,Q503893
Hamburg,1910160,Stapelfeld,rural,1880,15.347679517288798,30,53.6,10.216666666,01062071,Q202715
München,1510378,München,large,1510378,0.0,0,48.1375,11.575,09162000,Q1726
München,1510378,Haar,medium,23056,11.945467631912717,30,48.111388888,11.731111111,09184123,Q504820
München,1510378,Garching bei München,small,17577,13.689125749537684,30,48.25,11.65,09184119,Q264620
München,1510378,Baierbrunn,rural,3426,15.063412704596075,30,48.016666666,11.483333333,09184113,Q503705
Köln,1024621,Köln,large,1024621,0.0,0,50.942222222,6.957777777,05315000,Q365
Köln,1024621,Hürth,medium,61252,9.19673076284734,30,50.8775,6.876111111,05362028,Q4060
Köln,1024621,Burscheid,small,19005,19.309627578140837,30,51.085555555,7.113611111,05378008,Q245579
Köln,1024621,Rheinbreitbach,rural,4538,40.62125566030304,50,50.620277777,7.230833333,07138062,Q566032
Frankfurt am Main,775790,Frankfurt am Main,large,775790,0.0,0,50.110555555,8.682222222,06412000,Q1794
Frankfurt am Main,775790,Offenbach am Main,medium,135490,6.135733414530183,30,50.1,8.766666666,06413000,Q3042
Frankfurt am Main,775790,Steinbach (Taunus),small,10869,10.115884117386392,30,50.167777777,8.571875,06434010,Q622573
Frankfurt am Main,775790,Messel,rural,4263,19.598816242208297,30,49.938330555,8.740561111,06432012,Q7386758
Stuttgart,633484,Stuttgart,large,633484,0.0,0,48.7775,9.18,08111000,Q1022
Stuttgart,633484,Korntal-Münchingen,medium,20394,7.295884913908258,30,48.830555555,9.121388888,08118080,Q61663
Stuttgart,633484,Gerlingen,small,19774,8.768970298827742,30,48.8,9.065277777,08118019,Q61843
Stuttgart,633484,Affalterbach,rural,4524,19.116008235939255,30,48.921944444,9.321666666,08118001,Q61647
Düsseldorf,631217,Düsseldorf,large,631217,0.0,0,51.225555555,6.776666666,05111000,Q1718
Düsseldorf,631217,Meerbusch,medium,57440,8.917445821009801,30,51.266666666,6.666666666,05162022,Q4105
Düsseldorf,631217,Burscheid,small,19005,28.1878947331826,30,51.085555555,7.113611111,05378008,Q245579
Düsseldorf,631217,Buchholz,rural,4801,73.64933891027232,75,50.689444444,7.394166666,07138080,Q591364
Leipzig,611850,Leipzig,large,611850,0.0,0,51.3406321,12.3747329,14713000,Q2079
Leipzig,611850,Markkleeberg,medium,24488,7.24659257728975,30,51.275555,12.369166,14729260,Q10782
Leipzig,611850,Taucha,small,15759,9.342984276681662,30,51.38,12.493611111,14730300,Q12050
Leipzig,611850,Jesewitz,rural,3092,15.878254149777566,30,51.422222222,12.5625,14730140,Q16047
Dortmund,595471,Dortmund,large,595471,0.0,0,51.513888888,7.465277777,05913000,Q1295
Dortmund,595471,Schwerte,medium,46571,10.257844187847443,30,51.445833333,7.565277777,05978028,Q6863
Dortmund,595471,Olfen,small,13298,22.4385968226703,30,51.708611111,7.38,05558036,Q14937
Dortmund,595471,Friesenhagen,rural,1649,72.02543630967715,75,50.903333333,7.810555555,07132037,Q627732
Essen,586608,Essen,large,586608,0.0,0,51.450833333,7.013055555,05113000,Q2066
Essen,586608,Bottrop,medium,118705,10.088947504231585,30,51.52325,6.925269444,05512000,Q3069
Essen,586608,Breckerfeld,small,9120,37.91023924907076,50,51.261111111,7.466666666,05954004,Q11323
Essen,586608,Friesenhagen,rural,1649,82.44259842796396,100,50.903333333,7.810555555,07132037,Q627732
Bremen,577026,Bremen,large,577026,0.0,0,53.075833333,8.807222222,04011000,Q24879
Bremen,577026,Delmenhorst,medium,78979,12.062812555356969,30,53.050555555,8.631666666,03401000,Q3907
Bremen,577026,Bassum,small,16794,25.745021698646042,30,52.849444444,8.726666666,03251007,Q501865
Bremen,577026,Riede,rural,3092,15.445041825164669,30,52.966666666,8.95,03361010,Q505604
Dresden,564904,Dresden,large,564904,0.0,0,51.0493286,13.7381437,14612000,Q1731
Dresden,564904,Freital,medium,39281,7.154101247888884,30,51.016666666,13.65,14628110,Q5870
Dresden,564904,Heidenau,small,16667,11.60520974189858,30,50.983333333,13.866666666,14628160,Q6715
Dresden,564904,Müglitztal,rural,1943,15.742224716589737,30,50.916666666,13.816666666,14628250,Q8205
Hannover,548186,Hannover,large,548186,0.0,0,52.374444444,9.738611111,03241001,Q1715
Hannover,548186,Langenhagen,medium,55746,7.228294243205287,30,52.439444444,9.74,03241010,Q4158
Hannover,548186,Hemmingen,small,18885,5.721554796598703,30,52.323611111,9.725555555,03241007,Q534259
Hannover,548186,Suthfeld,rural,1476,23.004687169969927,30,52.366666666,9.4,03257036,Q681262
Nürnberg,529508,Nürnberg,large,529508,0.0,0,49.453888888,11.0775,09564000,Q2090
Nürnberg,529508,Fürth,medium,132036,6.864239591666805,30,49.478333333,10.990277777,09563000,Q3075
Nürnberg,529508,Stein,small,14851,6.039963080424346,30,49.416666666,11.016666666,09573127,Q522045
Nürnberg,529508,Seukendorf,rural,3178,15.140892602463715,30,49.488888888,10.875,09573126,Q383134
Duisburg,500810,Duisburg,large,500810,0.0,0,51.432222222,6.761111111,05112000,Q2100
Duisburg,500810,Moers,medium,105606,10.2464905488589,30,51.459166666,6.619722222,05170024,Q3132
Duisburg,500810,Straelen,small,16544,34.326830890385665,50,51.45,6.266666666,05154052,Q8856
Duisburg,500810,Buchholz,rural,4801,93.69515010132255,100,50.689444444,7.394166666,07138080,Q591364
Bochum,366385,Bochum,large,366385,0.0,0,51.483333333,7.216666666,05911000,Q2103
Bochum,366385,Hattingen,medium,54620,9.599809999740474,30,51.399166666,7.185833333,05954016,Q4082
Bochum,366385,Olfen,small,13298,27.473233883378526,30,51.708611111,7.38,05558036,Q14937
Bochum,366385,Friesenhagen,rural,1649,76.6291163960431,100,50.903333333,7.810555555,07132037,Q627732
Wuppertal,358938,Wuppertal,large,358938,0.0,0,51.266666666,7.183333333,05124000,Q2107
Wuppertal,358938,Schwelm,medium,28711,8.348726669722302,30,51.29045,7.297180555,05954024,Q11293
Wuppertal,358938,Hückeswagen,small,14770,17.455621261452325,30,51.145,7.341666666,05374016,Q11038
Wuppertal,358938,Friesenhagen,rural,1649,59.5951053221165,75,50.903333333,7.810555555,07132037,Q627732
Bielefeld,338410,Bielefeld,large,338410,0.0,0,52.016666666,8.533333333,05711000,Q2112
Bielefeld,338410,Halle (Westf.),medium,22198,12.850349736499695,30,52.060833333,8.359722222,05754012,Q225774
Bielefeld,338410,Werther (Westf.),small,11193,10.505244047335495,30,52.075,8.4125,05754052,Q32750
Bielefeld,338410,Luhden,rural,1191,44.65463325551907,50,52.225277777,9.092222222,03257022,Q587533
Bonn,335789,Bonn,large,335789,0.0,0,50.735277777,7.102222222,05314000,Q586
Bonn,335789,Sankt Augustin,medium,56692,7.085063430782235,30,50.77,7.186666666,05382056,Q4090
Bonn,335789,Unkel,small,5041,16.931135467890925,30,50.600833333,7.215,07138073,Q498589
Bonn,335789,Rheinbreitbach,rural,4538,15.672976075203579,30,50.620277777,7.230833333,07138062,Q566032
Mannheim,316877,Mannheim,large,316877,0.0,0,49.487777777,8.466111111,08222000,Q2119
Mannheim,316877,Frankenthal,medium,49122,9.794790605889201,30,49.533333333,8.35,07311000,Q6905
Mannheim,316877,Ladenburg,small,12704,10.48395388720266,30,49.471944444,8.609166666,08226038,Q83225
Mannheim,316877,Heuchelheim bei Frankenthal,rural,1283,15.189566179421936,30,49.564722222,8.292222222,07338013,Q566956
Karlsruhe,309964,Karlsruhe,large,309964,0.0,0,49.016666666,8.4,08212000,Q1040
Karlsruhe,309964,Stutensee,medium,25311,7.472751878028903,30,49.064722222,8.471666666,08215109,Q22884
Karlsruhe,309964,Wörth am Rhein,small,18405,10.90399693849378,30,49.051666666,8.260277777,07334501,Q522165
Karlsruhe,309964,Berg (Pfalz),rural,2003,15.08085116991753,30,48.983055555,8.199722222,07334002,Q681063
Münster,306368,Münster,large,306368,0.0,0,51.9625,7.625555555,05515000,Q2742
Münster,306368,Telgte,medium,20301,11.171384991931976,30,51.981944444,7.785555555,05570044,Q2789
Münster,306368,Sendenhorst,small,13760,19.142348393195533,30,51.843888888,7.827777777,05570040,Q2740
Münster,306368,Ohne,rural,589,41.109269810949606,50,52.266666666,7.283333333,03456016,Q622267
Augsburg,303150,Augsburg,large,303150,0.0,0,48.368888888,10.897777777,09761000,Q2749
