comparison_place,size_class,municipality_key,population,start,end,duration_days,max_temp,avg_temp,year
Berlin,large,11000000,3782202,1982-05-31,1982-06-04,5,32.0,30.4,1982
Berlin,large,11000000,3782202,1992-06-01,1992-06-04,4,28.8,28.6,1992
Berlin,large,11000000,3782202,1992-08-07,1992-08-09,3,37.7,35.6,1992
Berlin,large,11000000,3782202,1994-07-21,1994-07-31,11,36.7,33.2,1994
Berlin,large,11000000,3782202,1997-08-23,1997-08-25,3,31.1,30.4,1997
Berlin,large,11000000,3782202,2000-06-18,2000-06-21,4,34.4,31.9,2000
Berlin,large,11000000,3782202,2003-06-01,2003-06-04,4,30.8,29.5,2003
Berlin,large,11000000,3782202,2006-07-04,2006-07-06,3,32.3,31.3,2006
Berlin,large,11000000,3782202,2006-07-17,2006-07-21,5,35.4,32.2,2006
Berlin,large,11000000,3782202,2006-07-25,2006-07-27,3,34.0,32.3,2006
Berlin,large,11000000,3782202,2008-05-30,2008-06-02,4,29.0,28.7,2008
Berlin,large,11000000,3782202,2010-07-01,2010-07-03,3,31.6,31.2,2010
Berlin,large,11000000,3782202,2010-07-08,2010-07-11,4,36.1,34.8,2010
Berlin,large,11000000,3782202,2014-06-07,2014-06-09,3,31.8,30.6,2014
Berlin,large,11000000,3782202,2015-07-02,2015-07-04,3,35.5,34.5,2015
Berlin,large,11000000,3782202,2015-08-05,2015-08-07,3,36.1,33.9,2015
Berlin,large,11000000,3782202,2016-06-22,2016-06-24,3,32.9,31.3,2016
Berlin,large,11000000,3782202,2016-08-24,2016-08-27,4,34.7,31.7,2016
Berlin,large,11000000,3782202,2016-09-10,2016-09-13,4,31.0,29.9,2016
Berlin,large,11000000,3782202,2017-05-27,2017-05-29,3,30.0,29.0,2017
Berlin,large,11000000,3782202,2018-05-27,2018-05-31,5,31.0,30.3,2018
Berlin,large,11000000,3782202,2018-06-07,2018-06-09,3,30.6,29.5,2018
Berlin,large,11000000,3782202,2018-07-24,2018-07-27,4,32.2,31.5,2018
Berlin,large,11000000,3782202,2018-07-29,2018-08-03,6,35.0,32.6,2018
Berlin,large,11000000,3782202,2018-08-06,2018-08-08,3,36.6,35.3,2018
Berlin,large,11000000,3782202,2018-09-17,2018-09-20,4,30.2,29.0,2018
Berlin,large,11000000,3782202,2019-06-01,2019-06-05,5,33.5,31.3,2019
Berlin,large,11000000,3782202,2019-07-23,2019-07-25,3,34.2,32.6,2019
Berlin,large,11000000,3782202,2019-08-24,2019-08-31,8,32.6,30.8,2019
Berlin,large,11000000,3782202,2020-08-06,2020-08-12,7,35.4,32.7,2020
Berlin,large,11000000,3782202,2020-09-13,2020-09-15,3,30.4,29.2,2020
Berlin,large,11000000,3782202,2021-06-16,2021-06-20,5,34.6,32.9,2021
Berlin,large,11000000,3782202,2023-06-06,2023-06-09,4,29.0,28.8,2023
Berlin,large,11000000,3782202,2023-07-07,2023-07-09,3,32.2,31.4,2023
Berlin,large,11000000,3782202,2023-09-05,2023-09-11,7,30.3,29.6,2023
Berlin,large,11000000,3782202,2024-08-27,2024-08-29,3,34.3,31.0,2024
Berlin,large,11000000,3782202,2024-09-02,2024-09-07,6,33.9,31.6,2024
Berlin,large,11000000,3782202,2025-06-30,2025-07-02,3,37.2,33.6,2025
Berlin,large,11000000,3782202,2025-08-12,2025-08-14,3,33.4,32.8,2025
Teltow,medium,12069616,27880,1982-05-31,1982-06-04,5,31.8,30.4,1982
Teltow,medium,12069616,27880,1992-08-07,1992-08-09,3,37.4,35.4,1992
Teltow,medium,12069616,27880,1994-07-21,1994-07-31,11,36.4,33.0,1994
Teltow,medium,12069616,27880,1997-08-23,1997-08-25,3,30.8,30.2,1997
Teltow,medium,12069616,27880,2000-06-18,2000-06-20,3,34.0,32.4,2000
Teltow,medium,12069616,27880,2003-06-01,2003-06-04,4,30.8,29.5,2003
Teltow,medium,12069616,27880,2006-07-04,2006-07-06,3,32.0,31.1,2006
Teltow,medium,12069616,27880,2006-07-17,2006-07-21,5,35.3,32.1,2006
Teltow,medium,12069616,27880,2006-07-25,2006-07-27,3,33.9,32.2,2006
Teltow,medium,12069616,27880,2010-07-01,2010-07-03,3,31.5,31.1,2010
Teltow,medium,12069616,27880,2010-07-08,2010-07-11,4,35.9,34.6,2010
Teltow,medium,12069616,27880,2014-06-07,2014-06-09,3,31.9,30.9,2014
Teltow,medium,12069616,27880,2015-07-02,2015-07-04,3,35.5,34.4,2015
Teltow,medium,12069616,27880,2015-08-05,2015-08-07,3,35.7,33.7,2015
Teltow,medium,12069616,27880,2016-06-22,2016-06-24,3,33.0,31.4,2016
Teltow,medium,12069616,27880,2016-08-24,2016-08-27,4,34.5,31.7,2016
Teltow,medium,12069616,27880,2016-09-10,2016-09-13,4,30.9,29.8,2016
Teltow,medium,12069616,27880,2018-05-27,2018-05-31,5,30.8,29.9,2018
Teltow,medium,12069616,27880,2018-07-24,2018-07-27,4,32.0,31.5,2018
Teltow,medium,12069616,27880,2018-07-29,2018-07-31,3,34.5,33.0,2018
Teltow,medium,12069616,27880,2018-08-06,2018-08-08,3,36.3,35.0,2018
Teltow,medium,12069616,27880,2018-09-17,2018-09-20,4,29.8,28.9,2018
Teltow,medium,12069616,27880,2019-06-01,2019-06-05,5,32.3,30.4,2019
Teltow,medium,12069616,27880,2019-08-24,2019-08-31,8,32.0,30.2,2019
Teltow,medium,12069616,27880,2020-08-06,2020-08-08,3,34.7,33.3,2020
Teltow,medium,12069616,27880,2020-09-13,2020-09-15,3,30.3,29.1,2020
Teltow,medium,12069616,27880,2021-06-16,2021-06-20,5,34.3,32.5,2021
Teltow,medium,12069616,27880,2023-09-08,2023-09-11,4,29.0,28.9,2023
Teltow,medium,12069616,27880,2024-09-02,2024-09-07,6,33.2,31.0,2024
Teltow,medium,12069616,27880,2025-08-12,2025-08-14,3,33.0,32.3,2025
Velten,small,12065332,12733,1982-05-31,1982-06-04,5,31.8,30.2,1982
Velten,small,12065332,12733,1992-06-01,1992-06-03,3,28.8,28.5,1992
Velten,small,12065332,12733,1992-06-28,1992-06-30,3,31.5,30.6,1992
Velten,small,12065332,12733,1992-08-07,1992-08-09,3,37.0,34.3,1992
Velten,small,12065332,12733,1994-07-21,1994-07-31,11,36.5,32.8,1994
Velten,small,12065332,12733,1997-08-23,1997-08-25,3,30.8,29.9,1997
Velten,small,12065332,12733,2000-06-18,2000-06-20,3,33.8,32.2,2000
Velten,small,12065332,12733,2003-06-01,2003-06-04,4,30.6,29.2,2003
Velten,small,12065332,12733,2006-07-04,2006-07-06,3,31.8,30.7,2006
Velten,small,12065332,12733,2006-07-17,2006-07-20,4,34.7,31.6,2006
