municipality_key,size_class,comparison_place,n_heatwaves,mean_max_temp,mean_avg_temp,mean_duration
11000000,large,Berlin,39,33.03846,31.47436,4.205128205128205
12069616,medium,Teltow,30,33.116665,31.663334,4.1
12065332,small,Velten,28,32.639286,31.189285,3.9642857142857144
12067173,rural,Gosen-Neu Zittau,35,32.559998,31.25143,3.942857142857143
02000000,large,Hamburg,21,32.085712,30.657143,4.333333333333333
01062060,medium,Reinbek,24,31.954168,30.558334,4.166666666666667
01056044,small,Schenefeld,19,31.74737,30.4,4.473684210526316
01062071,rural,Stapelfeld,19,32.04737,30.521053,4.526315789473684
09162000,large,München,40,32.1675,30.75,3.875
09184123,medium,Haar,39,31.782051,30.489742,3.871794871794872
09184119,small,Garching bei München,36,32.247223,31.038889,3.9722222222222223
09184113,rural,Baierbrunn,31,31.687096,30.41613,3.870967741935484
05315000,large,Köln,32,33.86875,31.959373,4.09375
05362028,medium,Hürth,32,33.8125,31.865625,4.03125
05378008,small,Burscheid,29,32.927586,31.186207,4.103448275862069
07138062,rural,Rheinbreitbach,27,33.32963,31.696297,4.074074074074074
06412000,large,Frankfurt am Main,33,33.645454,32.342426,4.0606060606060606
06413000,medium,Offenbach am Main,34,33.558823,32.241177,4.088235294117647
06434010,small,Steinbach (Taunus),25,32.992,31.84,4.0
06432012,rural,Messel,31,32.951614,31.819355,3.903225806451613
08111000,large,Stuttgart,30,33.123333,31.956667,4.0
08118080,medium,Korntal-Münchingen,29,32.63793,31.531034,3.9655172413793105
08118019,small,Gerlingen,30,32.469997,31.373333,3.8666666666666667
08118001,rural,Affalterbach,33,32.860607,31.699999,3.878787878787879
05111000,large,Düsseldorf,30,33.433334,31.81,3.966666666666667
05162022,medium,Meerbusch,29,33.244827,31.596552,3.9655172413793105
07138080,rural,Buchholz,27,32.95926,31.203703,3.962962962962963
14713000,large,Leipzig,26,32.996155,31.819231,3.8846153846153846
14729260,medium,Markkleeberg,26,32.846153,31.66154,3.9615384615384617
14730300,small,Taucha,28,32.939285,31.717855,3.892857142857143
14730140,rural,Jesewitz,27,32.844444,31.692593,3.925925925925926
05913000,large,Dortmund,28,33.092857,31.517857,4.035714285714286
05978028,medium,Schwerte,26,32.942307,31.315386,4.153846153846154
05558036,small,Olfen,28,33.110714,31.478573,4.142857142857143
