municipality_key,size_class,comparison_place,n_heatwaves,mean_max_temp,mean_avg_temp,mean_duration
058091,large,Roma,81,35.458027,34.166668,6.049382716049383
058118,medium,Ciampino,75,34.492,33.338665,5.653333333333333
058121,small,Boville,65,33.986156,32.94923,5.276923076923077
058035,rural,Colonna,65,33.783077,32.78154,5.0
015146,large,Milano,85,33.994118,32.79059,5.635294117647059
015093,medium,Corsico,80,34.3875,33.232502,5.5125
015157,small,Novate Milanese,81,34.0321,32.850616,5.592592592592593
015158,rural,Noviglio,84,34.49524,33.282143,5.5
063049,large,Napoli,67,33.443283,32.467163,4.507462686567164
063067,medium,San Giorgio a Cremano,67,33.655224,32.52836,4.82089552238806
063021,small,Casavatore,74,33.44459,32.2527,5.0675675675675675
063069,rural,San Paolo Bel Sito,66,35.186363,34.01818,4.878787878787879
001272,large,Torino,83,33.218075,31.902409,5.963855421686747
001292,medium,Venaria Reale,88,32.920456,31.52159,6.204545454545454
001249,small,San Mauro Torinese,71,34.102818,32.892956,5.507042253521127
001062,rural,Caselette,75,32.396,30.998665,6.16
082053,large,Palermo,32,36.275,34.81875,3.625
082049,medium,Monreale,53,35.74528,34.264153,3.943396226415094
082009,small,Belmonte Mezzagno,55,34.863636,33.107273,4.290909090909091
082038,rural,Giardinello,45,36.304443,35.046665,3.6444444444444444
010025,large,Genova,49,32.842857,31.82653,4.938775510204081
010046,medium,Rapallo,50,31.826,30.82,6.1
010055,small,Sant'Olcese,40,31.7925,30.829998,4.925
010012,rural,Casella,44,31.252272,30.243181,5.159090909090909
037006,large,Bologna,60,35.82833,34.811665,4.716666666666667
037011,medium,Casalecchio di Reno,58,35.86207,34.863792,4.758620689655173
037019,small,Castel Maggiore,59,36.01356,35.01017,4.694915254237288
037034,rural,Loiano,49,32.62449,31.681633,4.530612244897959
048017,large,Firenze,65,35.246155,34.12,5.6
048041,medium,Scandicci,59,34.854237,33.815254,5.677966101694915
048015,small,Fiesole,68,34.189705,33.030884,5.676470588235294
048025,rural,Londa,41,32.363415,31.460976,4.585365853658536
072006,large,Bari,71,35.27324,33.304226,4.929577464788732
072046,medium,Triggiano,77,35.242855,33.26104,5.4935064935064934
072048,small,Valenzano,71,35.067608,33.07465,4.943661971830986
072008,rural,Binetto,45,36.98222,35.47111,4.044444444444444
087015,large,Catania,46,36.367393,35.11087,3.9782608695652173
087019,medium,Gravina di Catania,70,35.697144,34.13,4.571428571428571
087045,small,Sant'Agata li Battiati,41,34.868294,33.780487,3.951219512195122
087058,rural,Ragalna,56,34.82143,33.839287,4.125
023091,large,Verona,83,34.246986,33.263855,5.481927710843373
023071,medium,San Giovanni Lupatoto,91,34.502197,33.446156,5.637362637362638
023073,small,San Martino Buon Albergo,95,34.23579,33.24105,5.473684210526316
023057,rural,Pastrengo,79,32.762024,31.786077,5.2784810126582276
027042,large,Venezia,78,31.828207,30.976923,5.756410256410256
027038,medium,Spinea,97,32.57835,31.568043,5.628865979381444
027044,small,Cavallino-Treporti,68,32.333824,31.42059,5.911764705882353
026044,rural,Monastier di Treviso,86,32.53721,31.512793,6.0
083048,large,Messina,46,34.92174,33.41522,4.065217391304348
083049,medium,Milazzo,46,35.41522,34.0,3.739130434782609
080096,small,Villa San Giovanni,38,34.73947,33.30263,3.8684210526315788
083096,rural,Spadafora,60,35.23,33.665,4.15
028060,large,Padova,101,33.8198,32.753468,5.346534653465347
028003,medium,Albignasego,103,33.936893,32.82039,5.514563106796117
028058,small,Noventa Padovana,107,33.54486,32.4757,5.271028037383178
028011,rural,Battaglia Terme,96,34.321873,33.316666,5.15625
032006,large,Trieste,85,32.855293,31.732943,5.658823529411765
031012,medium,Monfalcone,88,32.032955,30.738636,6.7727272727272725
032003,small,Muggia,92,32.888042,31.70761,5.945652173913044
031003,rural,Doberdò del Lago,96,32.631252,31.342707,6.635416666666667
034027,large,Parma,72,35.055557,34.025,4.791666666666667
