large_city,large_city_population,comparison_place,size_class,population,distance_km,search_radius_km,lat,lon,municipality_key,wikidata_id
Roma,2748109,Roma,large,2748109,0.0,0,41.893055555,12.482777777,058091,Q220
Roma,2748109,Ciampino,medium,38595,14.189735810727067,30,41.8,12.6,058118,Q242513
Roma,2748109,Boville,small,18818,17.886136384339352,30,41.76638889,12.61583333,058121,Q3643232
Roma,2748109,Colonna,rural,4240,23.104023426339406,30,41.833333,12.75,058035,Q242558
Milano,1354196,Milano,large,1354196,0.0,0,45.466944444,9.19,015146,Q490
Milano,1354196,Corsico,medium,34373,6.833158854425391,30,45.433333333,9.116666666,015093,Q42423
Milano,1354196,Novate Milanese,small,19910,8.602368467759906,30,45.533333333,9.133333333,015157,Q42399
Milano,1354196,Noviglio,rural,4530,15.612138741581688,30,45.366666666,9.05,015158,Q42413
Napoli,913462,Napoli,large,913462,0.0,0,40.835833333,14.248611111,063049,Q2634
Napoli,913462,San Giorgio a Cremano,medium,42485,7.133120727283333,30,40.833333333,14.333333333,063067,Q72497
Napoli,913462,Casavatore,small,18209,7.307257496028378,30,40.89814355,14.27622205,063021,Q71967
Napoli,913462,San Paolo Bel Sito,rural,3378,26.88684932826144,30,40.916666666,14.55,063069,Q72514
Torino,841600,Torino,large,841600,0.0,0,45.079166666,7.676111111,001272,Q495
Torino,841600,Venaria Reale,medium,32288,5.353661125353222,30,45.116666666,7.633333333,001292,Q10339
Torino,841600,San Mauro Torinese,small,18581,6.676075305085919,30,45.103888888,7.753611111,001249,Q10276
Torino,841600,Caselette,rural,3051,15.592300032018029,30,45.104746,7.480817,001062,Q9207
Palermo,630167,Palermo,large,630167,0.0,0,38.115658055,13.361261944,082053,Q2656
Palermo,630167,Monreale,medium,38698,7.375147124523772,30,38.081666666,13.288888888,082049,Q207448
Palermo,630167,Belmonte Mezzagno,small,10858,7.5520988153456745,30,38.05,13.383333333,082009,Q490936
Palermo,630167,Giardinello,rural,2262,18.19873870404149,30,38.08706,13.15648,082038,Q259039
Genova,558745,Genova,large,558745,0.0,0,44.407222222,8.933888888,010025,Q1449
Genova,558745,Rapallo,medium,29103,24.634213425249108,30,44.35,9.233333333,010046,Q210098
Genova,558745,Sant'Olcese,small,5567,8.469719442671972,30,44.483386111,8.935230555,010055,Q265539
Genova,558745,Casella,rural,3098,15.089862221475233,30,44.534763888,8.998855555,010012,Q265574
Bologna,387971,Bologna,large,387971,0.0,0,44.493888888,11.342777777,037006,Q1891
Bologna,387971,Casalecchio di Reno,medium,35414,4.859337175104913,30,44.483333333,11.283333333,037011,Q94638
Bologna,387971,Castel Maggiore,small,18462,9.447414977024824,30,44.577777777,11.361666666,037019,Q94757
Bologna,387971,Loiano,rural,4416,25.351065212442105,30,44.266666666,11.316666666,037034,Q94931
Firenze,360930,Firenze,large,360930,0.0,0,43.771388888,11.254166666,048017,Q2044
Firenze,360930,Scandicci,medium,49390,5.5285469549511275,30,43.754444444,11.189444444,048041,Q82842
Firenze,360930,Fiesole,small,13659,4.86400745204513,30,43.8,11.3,048015,Q82670
Firenze,360930,Londa,rural,1833,28.99205648454068,30,43.8525197,11.59754585,048025,Q82755
Bari,315473,Bari,large,315473,0.0,0,41.125277777,16.866666666,072006,Q3519
Bari,315473,Triggiano,medium,25847,7.7478961112488225,30,41.066666666,16.916666666,072046,Q51854
Bari,315473,Valenzano,small,17339,8.486262015867542,30,41.05,16.883333333,072048,Q51857
Bari,315473,Binetto,rural,2128,17.25250808267123,30,41.024166666,16.710555555,072008,Q51813
Catania,311584,Catania,large,311584,0.0,0,37.502669444,15.087269444,087015,Q1903
Catania,311584,Gravina di Catania,medium,25185,6.796931965259253,30,37.560357,15.061781,087019,Q478338
Catania,311584,Sant'Agata li Battiati,small,9351,6.125057685464967,30,37.55745,15.07999,087045,Q478863
Catania,311584,Ragalna,rural,4204,19.878915763026587,30,37.633333333,14.933333333,087058,Q478763
Verona,255588,Verona,large,255588,0.0,0,45.438611111,10.992777777,023091,Q2028
Verona,255588,San Giovanni Lupatoto,medium,25341,6.913984476388846,30,45.383333333,11.033333333,023071,Q47853
Verona,255588,San Martino Buon Albergo,small,16233,8.715918389392593,30,45.416666666,11.1,023073,Q47998
Verona,255588,Pastrengo,rural,3062,16.510064648364292,30,45.5,10.8,023057,Q55934
Venezia,250369,Venezia,large,250369,0.0,0,45.439722222,12.331944444,027042,Q641
Venezia,250369,Spinea,medium,27694,14.622105794702355,30,45.49306,12.16056,027038,Q46948
Venezia,250369,Cavallino-Treporti,small,13318,9.635326267517911,30,45.45367324,12.453844935,027044,Q47995
Venezia,250369,Monastier di Treviso,rural,4411,24.679001730644764,30,45.65,12.433333333,026044,Q46472
Messina,218786,Messina,large,218786,0.0,0,38.193611111,15.554166666,083048,Q13666
Messina,218786,Milazzo,medium,30043,27.834839342717686,30,38.217,15.237,083049,Q487929
Messina,218786,Villa San Giovanni,small,12752,7.377148508207768,30,38.216666666,15.633333333,080096,Q54689
Messina,218786,Spadafora,rural,4687,15.643794904444235,30,38.22376,15.37928,083096,Q493451
Padova,206496,Padova,large,206496,0.0,0,45.407777777,11.873333333,028060,Q617
Padova,206496,Albignasego,medium,26890,6.44567086917368,30,45.35,11.866666666,028003,Q34596
Padova,206496,Noventa Padovana,small,11468,6.1062501631376795,30,45.4143019,11.9510037,028058,Q34330
Padova,206496,Battaglia Terme,rural,3766,15.06717523783965,30,45.28937,11.77959,028011,Q34684
Trieste,198417,Trieste,large,198417,0.0,0,45.650277777,13.770277777,032006,Q546
Trieste,198417,Monfalcone,medium,29479,24.808598004637354,30,45.8,13.533333333,031012,Q53133
Trieste,198417,Muggia,small,12862,5.597689616327976,30,45.6,13.766666666,032003,Q16937
Trieste,198417,Doberdò del Lago,rural,1340,28.830465191270584,30,45.85,13.533333333,031003,Q53125
Parma,196764,Parma,large,196764,0.0,0,44.801472222,10.328,034027,Q2683
Parma,196764,Fidenza,medium,26945,22.247863318403347,30,44.866361111,10.061111111,034014,Q100811
Parma,196764,Collecchio,small,14684,10.392195038940361,30,44.752694444,10.215694444,034009,Q100779
Parma,196764,Mezzani,rural,3218,15.264374359281256,30,44.916666666,10.433333333,034021,Q4920
Brescia,196446,Brescia,large,196446,0.0,0,45.538888888,10.220280555,017029,Q6221
Brescia,196446,Lumezzane,medium,21424,12.871372787514956,30,45.65,10.266666666,017096,Q105070
Brescia,196446,Roncadelle,small,9201,5.3190725517493265,30,45.52718,10.15407,017165,Q111630
Brescia,196446,Maclodio,rural,1484,15.471756088182763,30,45.48042715,10.04010785,017097,Q105095
Prato,195736,Prato,large,195736,0.0,0,43.880813888,11.096561111,100005,Q13377
Prato,195736,Campi Bisenzio,medium,47462,6.8153053348462835,30,43.825555555,11.133333333,048006,Q82636
Prato,195736,Calenzano,small,18084,6.008322351983336,30,43.856666666,11.163611111,048005,Q82635
Prato,195736,Cantagallo,rural,3100,15.143232499906212,30,44.016666666,11.083333333,100001,Q20382
Taranto,188098,Taranto,large,188098,0.0,0,40.471111111,17.243055555,073027,Q13498
Taranto,188098,Massafra,medium,31960,16.426358450695002,30,40.583333333,17.116666666,073015,Q52024
