comparison_place,size_class,municipality_key,population,start,end,duration_days,max_temp,avg_temp,year
Roma,large,058091,2748109,1983-07-18,1983-07-20,3,35.6,35.2,1983
Roma,large,058091,2748109,1983-07-25,1983-07-28,4,37.4,36.0,1983
Roma,large,058091,2748109,1987-09-13,1987-09-18,6,33.6,32.7,1987
Roma,large,058091,2748109,1994-06-30,1994-07-02,3,34.0,33.2,1994
Roma,large,058091,2748109,1994-08-03,1994-08-05,3,35.3,35.1,1994
Roma,large,058091,2748109,1996-06-09,1996-06-11,3,31.5,31.1,1996
Roma,large,058091,2748109,1998-06-03,1998-06-05,3,32.2,31.4,1998
Roma,large,058091,2748109,2000-08-21,2000-08-24,4,35.2,34.9,2000
Roma,large,058091,2748109,2002-06-14,2002-06-24,11,35.3,32.9,2002
Roma,large,058091,2748109,2003-06-08,2003-06-15,8,34.9,33.7,2003
Roma,large,058091,2748109,2003-06-23,2003-06-25,3,33.7,33.5,2003
Roma,large,058091,2748109,2003-08-04,2003-08-06,3,36.6,36.4,2003
Roma,large,058091,2748109,2003-08-08,2003-08-12,5,36.2,35.6,2003
Roma,large,058091,2748109,2003-08-16,2003-08-20,5,35.2,34.7,2003
Roma,large,058091,2748109,2005-05-27,2005-05-29,3,29.8,29.7,2005
Roma,large,058091,2748109,2005-06-25,2005-06-28,4,34.9,34.0,2005
Roma,large,058091,2748109,2006-06-18,2006-06-28,11,34.3,33.1,2006
Roma,large,058091,2748109,2007-08-23,2007-08-25,3,37.4,36.2,2007
Roma,large,058091,2748109,2008-09-08,2008-09-11,4,33.6,32.7,2008
Roma,large,058091,2748109,2009-05-18,2009-05-25,8,31.6,29.9,2009
Roma,large,058091,2748109,2009-08-16,2009-08-22,7,35.6,34.7,2009
Roma,large,058091,2748109,2010-07-15,2010-07-17,3,36.0,35.3,2010
Roma,large,058091,2748109,2011-08-19,2011-08-25,7,36.1,35.5,2011
Roma,large,058091,2748109,2011-09-14,2011-09-16,3,32.7,32.0,2011
Roma,large,058091,2748109,2012-06-16,2012-06-19,4,33.9,33.0,2012
Roma,large,058091,2748109,2012-06-21,2012-06-23,3,33.6,33.2,2012
Roma,large,058091,2748109,2012-06-29,2012-07-01,3,35.3,34.3,2012
Roma,large,058091,2748109,2012-08-05,2012-08-07,3,36.9,35.8,2012
Roma,large,058091,2748109,2012-08-17,2012-08-22,6,35.4,34.6,2012
Roma,large,058091,2748109,2013-08-03,2013-08-07,5,37.3,36.2,2013
Roma,large,058091,2748109,2014-06-06,2014-06-12,7,32.8,31.8,2014
Roma,large,058091,2748109,2015-06-04,2015-06-06,3,31.2,30.7,2015
Roma,large,058091,2748109,2015-07-15,2015-07-21,7,35.8,35.3,2015
Roma,large,058091,2748109,2015-08-04,2015-08-07,4,35.7,35.5,2015
Roma,large,058091,2748109,2015-08-29,2015-08-31,3,34.1,33.6,2015
Roma,large,058091,2748109,2016-06-22,2016-06-24,3,33.7,33.2,2016
Roma,large,058091,2748109,2017-06-14,2017-06-17,4,33.5,32.8,2017
Roma,large,058091,2748109,2017-06-21,2017-06-23,3,33.3,32.7,2017
Roma,large,058091,2748109,2017-06-25,2017-06-27,3,33.8,33.5,2017
Roma,large,058091,2748109,2017-07-04,2017-07-08,5,35.8,35.3,2017
Roma,large,058091,2748109,2017-07-30,2017-08-09,11,39.2,37.8,2017
Roma,large,058091,2748109,2017-08-14,2017-08-17,4,35.6,35.0,2017
Roma,large,058091,2748109,2017-08-26,2017-08-29,4,36.0,34.9,2017
Roma,large,058091,2748109,2018-07-28,2018-08-01,5,36.4,35.8,2018
Roma,large,058091,2748109,2019-06-07,2019-06-10,4,34.2,32.1,2019
Roma,large,058091,2748109,2019-06-23,2019-07-08,16,37.8,34.9,2019
Roma,large,058091,2748109,2019-07-21,2019-07-25,5,36.2,35.5,2019
Roma,large,058091,2748109,2019-08-08,2019-08-12,5,38.0,36.4,2019
Roma,large,058091,2748109,2020-07-28,2020-08-01,5,38.7,36.9,2020
Roma,large,058091,2748109,2020-08-07,2020-08-12,6,36.4,35.5,2020
Roma,large,058091,2748109,2020-08-19,2020-08-22,4,36.0,34.7,2020
Roma,large,058091,2748109,2020-09-07,2020-09-09,3,32.8,32.6,2020
Roma,large,058091,2748109,2020-09-11,2020-09-18,8,34.2,32.5,2020
Roma,large,058091,2748109,2021-06-20,2021-06-23,4,34.4,33.4,2021
Roma,large,058091,2748109,2021-06-26,2021-06-28,3,35.3,33.9,2021
Roma,large,058091,2748109,2021-07-05,2021-07-07,3,39.2,35.8,2021
Roma,large,058091,2748109,2021-08-09,2021-08-15,7,38.8,37.0,2021
Roma,large,058091,2748109,2022-05-15,2022-05-19,5,31.1,29.2,2022
Roma,large,058091,2748109,2022-05-21,2022-05-27,7,34.8,31.2,2022
Roma,large,058091,2748109,2022-05-30,2022-06-07,9,36.4,33.2,2022
Roma,large,058091,2748109,2022-06-10,2022-06-22,13,34.7,32.8,2022
Roma,large,058091,2748109,2022-06-24,2022-07-05,12,39.8,36.6,2022
Roma,large,058091,2748109,2022-07-14,2022-07-25,12,37.4,36.3,2022
Roma,large,058091,2748109,2022-08-01,2022-08-06,6,37.4,36.0,2022
Roma,large,058091,2748109,2023-07-06,2023-07-11,6,37.8,35.9,2023
Roma,large,058091,2748109,2023-07-15,2023-07-24,10,40.0,37.2,2023
Roma,large,058091,2748109,2023-08-16,2023-08-26,11,38.6,36.9,2023
Roma,large,058091,2748109,2023-09-06,2023-09-10,5,33.0,32.3,2023
Roma,large,058091,2748109,2023-09-16,2023-09-18,3,32.8,31.6,2023
Roma,large,058091,2748109,2023-10-06,2023-10-11,6,31.9,29.6,2023
Roma,large,058091,2748109,2024-06-05,2024-06-08,4,33.1,31.7,2024
Roma,large,058091,2748109,2024-06-17,2024-06-21,5,38.8,35.4,2024
Roma,large,058091,2748109,2024-07-08,2024-07-23,16,38.8,36.5,2024
Roma,large,058091,2748109,2024-07-25,2024-08-02,9,38.8,36.5,2024
Roma,large,058091,2748109,2024-08-05,2024-08-15,11,37.4,36.2,2024
Roma,large,058091,2748109,2024-08-23,2024-08-25,3,35.7,34.7,2024
Roma,large,058091,2748109,2024-08-27,2024-09-01,6,36.1,35.0,2024
Roma,large,058091,2748109,2025-05-28,2025-06-16,20,37.4,32.6,2025
Roma,large,058091,2748109,2025-06-18,2025-07-05,18,39.5,35.8,2025
Roma,large,058091,2748109,2025-08-07,2025-08-15,9,38.8,37.2,2025
Roma,large,058091,2748109,2025-09-16,2025-09-19,4,32.0,31.4,2025
Ciampino,medium,058118,38595,1983-07-18,1983-07-20,3,35.0,34.6,1983
Ciampino,medium,058118,38595,1983-07-25,1983-07-28,4,36.5,35.3,1983
Ciampino,medium,058118,38595,1987-09-12,1987-09-18,7,33.0,31.9,1987
Ciampino,medium,058118,38595,1996-06-09,1996-06-11,3,30.3,30.2,1996
Ciampino,medium,058118,38595,1998-06-02,1998-06-05,4,31.5,30.3,1998
Ciampino,medium,058118,38595,2000-08-19,2000-08-24,6,34.8,34.1,2000
Ciampino,medium,058118,38595,2002-06-16,2002-06-24,9,33.9,32.1,2002
Ciampino,medium,058118,38595,2003-06-08,2003-06-15,8,33.6,32.6,2003
Ciampino,medium,058118,38595,2003-06-19,2003-06-21,3,31.4,31.2,2003
Ciampino,medium,058118,38595,2003-06-23,2003-06-25,3,32.8,32.7,2003
Ciampino,medium,058118,38595,2003-08-04,2003-08-06,3,35.6,35.4,2003
Ciampino,medium,058118,38595,2003-08-08,2003-08-12,5,35.1,34.6,2003
Ciampino,medium,058118,38595,2003-08-16,2003-08-20,5,34.5,34.0,2003
Ciampino,medium,058118,38595,2005-05-27,2005-05-29,3,28.9,28.8,2005
Ciampino,medium,058118,38595,2005-06-25,2005-06-28,4,33.9,33.1,2005
Ciampino,medium,058118,38595,2006-06-18,2006-06-28,11,33.5,32.6,2006
Ciampino,medium,058118,38595,2007-08-23,2007-08-25,3,36.9,35.9,2007
Ciampino,medium,058118,38595,2008-05-25,2008-05-27,3,30.4,29.3,2008
Ciampino,medium,058118,38595,2008-09-08,2008-09-11,4,32.9,32.1,2008
Ciampino,medium,058118,38595,2009-05-19,2009-05-25,7,30.9,29.4,2009
Ciampino,medium,058118,38595,2009-08-16,2009-08-21,6,34.8,33.9,2009
Ciampino,medium,058118,38595,2011-08-19,2011-08-25,7,35.0,34.6,2011
Ciampino,medium,058118,38595,2011-09-14,2011-09-16,3,31.9,31.3,2011
Ciampino,medium,058118,38595,2012-06-16,2012-06-19,4,32.8,31.9,2012
Ciampino,medium,058118,38595,2012-06-21,2012-06-23,3,32.6,32.2,2012
Ciampino,medium,058118,38595,2012-06-29,2012-07-01,3,34.3,33.4,2012
Ciampino,medium,058118,38595,2012-08-05,2012-08-07,3,35.9,35.0,2012
Ciampino,medium,058118,38595,2012-08-20,2012-08-22,3,34.4,33.9,2012
Ciampino,medium,058118,38595,2013-08-03,2013-08-07,5,36.4,35.3,2013
Ciampino,medium,058118,38595,2014-06-06,2014-06-12,7,31.7,30.7,2014
Ciampino,medium,058118,38595,2015-06-04,2015-06-06,3,30.0,29.6,2015
Ciampino,medium,058118,38595,2015-07-15,2015-07-17,3,35.0,34.7,2015
Ciampino,medium,058118,38595,2015-07-19,2015-07-21,3,34.7,34.5,2015
Ciampino,medium,058118,38595,2015-08-04,2015-08-07,4,34.9,34.5,2015
Ciampino,medium,058118,38595,2016-06-22,2016-06-24,3,32.6,32.3,2016
Ciampino,medium,058118,38595,2017-06-25,2017-06-27,3,32.2,32.0,2017
Ciampino,medium,058118,38595,2017-07-04,2017-07-08,5,34.9,34.2,2017
Ciampino,medium,058118,38595,2017-07-30,2017-08-09,11,38.4,36.6,2017
Ciampino,medium,058118,38595,2017-08-14,2017-08-17,4,34.4,34.0,2017
Ciampino,medium,058118,38595,2017-08-26,2017-08-28,3,34.7,34.1,2017
Ciampino,medium,058118,38595,2018-07-28,2018-08-01,5,35.4,34.5,2018
Ciampino,medium,058118,38595,2019-06-23,2019-07-05,13,37.7,34.1,2019
Ciampino,medium,058118,38595,2019-07-22,2019-07-25,4,34.8,34.5,2019
Ciampino,medium,058118,38595,2019-08-08,2019-08-12,5,37.1,35.2,2019
Ciampino,medium,058118,38595,2020-07-28,2020-07-31,4,37.7,36.1,2020
Ciampino,medium,058118,38595,2020-08-07,2020-08-12,6,36.0,34.6,2020
Ciampino,medium,058118,38595,2020-09-07,2020-09-09,3,32.1,31.8,2020
Ciampino,medium,058118,38595,2020-09-11,2020-09-18,8,33.6,31.8,2020
Ciampino,medium,058118,38595,2021-06-20,2021-06-22,3,32.9,32.4,2021
Ciampino,medium,058118,38595,2021-06-26,2021-06-28,3,34.2,33.0,2021
Ciampino,medium,058118,38595,2021-08-09,2021-08-15,7,37.3,35.7,2021
Ciampino,medium,058118,38595,2022-05-24,2022-05-27,4,33.7,32.0,2022
Ciampino,medium,058118,38595,2022-05-30,2022-06-07,9,35.6,32.1,2022
Ciampino,medium,058118,38595,2022-06-10,2022-06-22,13,33.3,31.6,2022
Ciampino,medium,058118,38595,2022-06-24,2022-07-05,12,38.7,35.2,2022
Ciampino,medium,058118,38595,2022-07-14,2022-07-24,11,36.1,34.8,2022
Ciampino,medium,058118,38595,2023-07-06,2023-07-11,6,36.9,35.0,2023
Ciampino,medium,058118,38595,2023-07-15,2023-07-20,6,39.5,36.5,2023
Ciampino,medium,058118,38595,2023-07-22,2023-07-24,3,37.4,36.4,2023
Ciampino,medium,058118,38595,2023-08-16,2023-08-26,11,38.3,36.0,2023
Ciampino,medium,058118,38595,2023-09-06,2023-09-11,6,33.4,31.7,2023
Ciampino,medium,058118,38595,2023-09-16,2023-09-18,3,32.0,31.0,2023
Ciampino,medium,058118,38595,2023-10-07,2023-10-09,3,31.2,30.0,2023
Ciampino,medium,058118,38595,2024-06-05,2024-06-08,4,32.0,30.8,2024
Ciampino,medium,058118,38595,2024-06-17,2024-06-20,4,39.0,36.0,2024
Ciampino,medium,058118,38595,2024-07-08,2024-07-18,11,38.1,35.9,2024
Ciampino,medium,058118,38595,2024-07-20,2024-07-23,4,35.3,34.6,2024
Ciampino,medium,058118,38595,2024-07-26,2024-08-02,8,37.3,35.5,2024
Ciampino,medium,058118,38595,2024-08-05,2024-08-16,12,36.5,35.0,2024
Ciampino,medium,058118,38595,2024-08-25,2024-09-01,8,34.7,33.8,2024
Ciampino,medium,058118,38595,2025-05-28,2025-05-30,3,29.9,29.2,2025
Ciampino,medium,058118,38595,2025-06-09,2025-06-15,7,35.7,33.8,2025
Ciampino,medium,058118,38595,2025-06-18,2025-07-05,18,37.2,34.3,2025
Ciampino,medium,058118,38595,2025-08-07,2025-08-15,9,38.5,36.4,2025
Ciampino,medium,058118,38595,2025-09-16,2025-09-19,4,30.8,30.2,2025
Boville,small,058121,18818,1983-07-18,1983-07-20,3,34.7,34.2,1983
Boville,small,058121,18818,1983-07-25,1983-07-28,4,36.1,34.9,1983
Boville,small,058121,18818,1987-09-12,1987-09-18,7,32.7,31.5,1987
Boville,small,058121,18818,1996-06-09,1996-06-11,3,29.9,29.8,1996
Boville,small,058121,18818,1998-06-02,1998-06-05,4,31.2,29.9,1998
Boville,small,058121,18818,2000-08-19,2000-08-24,6,34.5,33.7,2000
Boville,small,058121,18818,2002-06-16,2002-06-24,9,33.5,31.7,2002
Boville,small,058121,18818,2003-06-08,2003-06-15,8,33.3,32.2,2003
Boville,small,058121,18818,2003-06-19,2003-06-21,3,31.0,30.8,2003
Boville,small,058121,18818,2003-06-23,2003-06-25,3,32.5,32.3,2003
Boville,small,058121,18818,2003-08-04,2003-08-06,3,35.3,35.0,2003
Boville,small,058121,18818,2003-08-08,2003-08-12,5,34.7,34.2,2003
Boville,small,058121,18818,2003-08-16,2003-08-20,5,34.1,33.6,2003
Boville,small,058121,18818,2005-05-27,2005-05-29,3,28.5,28.4,2005
Boville,small,058121,18818,2005-06-25,2005-06-28,4,33.5,32.7,2005
Boville,small,058121,18818,2006-06-18,2006-06-28,11,33.1,32.2,2006
Boville,small,058121,18818,2007-08-23,2007-08-25,3,36.5,35.5,2007
Boville,small,058121,18818,2008-05-25,2008-05-27,3,30.0,28.9,2008
Boville,small,058121,18818,2008-09-08,2008-09-11,4,32.5,31.8,2008
Boville,small,058121,18818,2009-05-19,2009-05-25,7,30.5,29.0,2009
Boville,small,058121,18818,2009-08-16,2009-08-21,6,34.4,33.5,2009
Boville,small,058121,18818,2011-08-19,2011-08-25,7,34.6,34.2,2011
Boville,small,058121,18818,2011-09-14,2011-09-16,3,31.6,30.9,2011
Boville,small,058121,18818,2012-06-16,2012-06-19,4,32.5,31.5,2012
Boville,small,058121,18818,2012-06-21,2012-06-23,3,32.2,31.9,2012
Boville,small,058121,18818,2012-06-29,2012-07-01,3,33.9,33.0,2012
Boville,small,058121,18818,2012-08-05,2012-08-07,3,35.6,34.6,2012
Boville,small,058121,18818,2012-08-20,2012-08-22,3,34.1,33.6,2012
Boville,small,058121,18818,2013-08-03,2013-08-07,5,36.1,34.9,2013
Boville,small,058121,18818,2014-06-06,2014-06-12,7,31.4,30.3,2014
Boville,small,058121,18818,2015-06-04,2015-06-06,3,29.6,29.2,2015
Boville,small,058121,18818,2015-07-15,2015-07-17,3,34.6,34.3,2015
Boville,small,058121,18818,2015-07-19,2015-07-21,3,34.3,34.2,2015
Boville,small,058121,18818,2015-08-04,2015-08-07,4,34.6,34.1,2015
Boville,small,058121,18818,2016-06-22,2016-06-24,3,32.2,31.9,2016
Boville,small,058121,18818,2017-07-05,2017-07-08,4,33.6,33.5,2017
Boville,small,058121,18818,2017-07-30,2017-08-09,11,37.6,35.9,2017
Boville,small,058121,18818,2017-08-15,2017-08-17,3,33.2,33.2,2017
Boville,small,058121,18818,2017-08-26,2017-08-28,3,34.0,33.5,2017
Boville,small,058121,18818,2019-06-23,2019-07-02,10,35.2,32.8,2019
Boville,small,058121,18818,2019-08-09,2019-08-12,4,35.6,34.4,2019
Boville,small,058121,18818,2020-07-28,2020-07-31,4,36.5,35.3,2020
Boville,small,058121,18818,2020-08-08,2020-08-10,3,33.8,33.6,2020
Boville,small,058121,18818,2020-09-12,2020-09-17,6,31.8,30.7,2020
Boville,small,058121,18818,2021-06-19,2021-06-22,4,32.3,31.7,2021
