city,country,population,latitude,longitude,year,mean_uvi,max_uvi,region
London,GB,8961989,51.50853,-0.12574,2000,3.2887816429138184,7.811999797821045,Northern Europe
Berlin,DE,3426354,52.52437,13.41053,2000,3.212874174118042,8.069000244140625,Western Europe
Madrid,ES,3255944,40.4165,-3.70256,2000,5.444470405578613,10.312999725341797,Southern Europe
Kyiv,UA,2952301,50.45466,30.5238,2000,3.5419397354125977,8.432999610900879,Eastern Europe
Rome,IT,2318895,41.89193,12.51133,2000,5.003847122192383,10.229000091552734,Southern Europe
Paris,FR,2138551,48.85341,2.3488,2000,3.736628293991089,8.555000305175781,Western Europe
Hamburg,DE,1973896,53.55073,9.99302,2000,3.0475847721099854,7.585999965667725,Western Europe
Bucharest,RO,1877155,44.43225,26.10626,2000,4.530978202819824,9.954999923706055,Eastern Europe
Minsk,BY,1742124,53.90019,27.56653,2000,3.093409776687622,7.635000228881836,Eastern Europe
Budapest,HU,1741041,47.49835,19.04045,2000,4.003505229949951,9.3100004196167,Eastern Europe
Warsaw,PL,1702139,52.22977,21.01178,2000,3.3257102966308594,7.849999904632568,Eastern Europe
Vienna,AT,1691468,48.20849,16.37208,2000,3.9567513465881348,9.144000053405762,Western Europe
Barcelona,ES,1686208,41.38879,2.15899,2000,5.103024482727051,10.131999969482422,Southern Europe
Stockholm,SE,1515017,59.32938,18.06871,2000,2.310899019241333,6.370999813079834,Northern Europe
Munich,DE,1505005,48.13743,11.57549,2000,4.026090145111084,8.928999900817871,Western Europe
Kharkiv,UA,1421125,49.98177,36.25475,2000,3.6145412921905518,8.032999992370605,Eastern Europe
Milan,IT,1371498,45.46427,9.18951,2000,4.374969959259033,9.25100040435791,Southern Europe
Belgrade,RS,1273651,44.80401,20.46513,2000,4.450483322143555,10.001999855041504,Southern Europe
Prague,CZ,1165581,50.08804,14.42076,2000,3.6570985317230225,8.265999794006348,Eastern Europe
Birmingham,GB,1157603,52.48142,-1.89983,2000,3.1793060302734375,7.76200008392334,Northern Europe
Copenhagen,DK,1153615,55.67594,12.56553,2000,2.7717976570129395,7.215000152587891,Northern Europe
Sofia,BG,1152556,42.69751,23.32415,2000,5.094942569732666,10.847000122070312,Eastern Europe
Oslo,NO,1082575,59.91273,10.74609,2000,2.2568113803863525,6.031000137329102,Northern Europe
Köln,DE,1024621,50.93333,6.95,2000,3.430795192718506,7.952000141143799,Western Europe
Dublin,IE,1024027,53.33306,-6.24889,2000,3.0283117294311523,7.432000160217285,Northern Europe
Brussels,BE,1019022,50.85045,4.34878,2000,3.4227514266967773,8.211999893188477,Western Europe
Odesa,UA,1010537,46.48572,30.74383,2000,4.151622772216797,9.574000358581543,Eastern Europe
Pest,HU,1001748,47.5,19.08333,2000,3.9738988876342773,9.253000259399414,Eastern Europe
Dnipro,UA,968502,48.46664,35.04066,2000,3.846529960632324,8.336000442504883,Eastern Europe
Naples,IT,909048,40.85216,14.26811,2000,5.219401836395264,10.579000473022461,Southern Europe
Donetsk,UA,901645,48.023,37.80224,2000,3.9078221321105957,8.687000274658203,Eastern Europe
Marseille,FR,877215,43.29695,5.38107,2000,4.745300769805908,9.543000221252441,Western Europe
Rotterdam,NL,868135,51.9225,4.47917,2000,3.2649588584899902,8.069000244140625,Western Europe
Turin,IT,847287,45.07049,7.68682,2000,4.668628692626953,9.420000076293945,Southern Europe
Valencia,ES,824340,39.47391,-0.37966,2000,5.488868713378906,10.343999862670898,Southern Europe
Kraków,PL,816614,50.06143,19.93658,2000,3.6479318141937256,8.38599967956543,Eastern Europe
Riga,LV,742572,56.946,24.10589,2000,2.666712999343872,6.892000198364258,Northern Europe
Amsterdam,NL,741636,52.37403,4.88969,2000,3.190431594848633,7.86899995803833,Western Europe
Lviv,UA,717273,49.83826,24.02324,2000,3.6732540130615234,8.376999855041504,Eastern Europe
Zaporizhzhya,UA,710052,47.85167,35.11714,2000,3.9140517711639404,8.718999862670898,Eastern Europe
Sarajevo,BA,696731,43.84864,18.35644,2000,4.878076553344727,10.569999694824219,Southern Europe
Zaragoza,ES,686986,41.65606,-0.87734,2000,5.125997066497803,9.977999687194824,Southern Europe
