city,population,start,end,duration_days,max_temp,avg_temp,year
Berlin,3782202,1982-05-31,1982-06-04,5,32.0,30.4,1982
Berlin,3782202,1992-06-01,1992-06-04,4,28.8,28.6,1992
Berlin,3782202,1992-08-07,1992-08-09,3,37.7,35.6,1992
Berlin,3782202,1994-07-21,1994-07-31,11,36.7,33.2,1994
Berlin,3782202,1997-08-23,1997-08-25,3,31.1,30.4,1997
Berlin,3782202,2000-06-18,2000-06-21,4,34.4,31.9,2000
Berlin,3782202,2003-06-01,2003-06-04,4,30.8,29.5,2003
Berlin,3782202,2006-07-04,2006-07-06,3,32.3,31.3,2006
Berlin,3782202,2006-07-17,2006-07-21,5,35.4,32.2,2006
Berlin,3782202,2006-07-25,2006-07-27,3,34.0,32.3,2006
Berlin,3782202,2008-05-30,2008-06-02,4,29.0,28.7,2008
Berlin,3782202,2010-07-01,2010-07-03,3,31.6,31.2,2010
Berlin,3782202,2010-07-08,2010-07-11,4,36.1,34.8,2010
Berlin,3782202,2014-06-07,2014-06-09,3,31.8,30.6,2014
Berlin,3782202,2015-07-02,2015-07-04,3,35.5,34.5,2015
Berlin,3782202,2015-08-05,2015-08-07,3,36.1,33.9,2015
Berlin,3782202,2016-06-22,2016-06-24,3,32.9,31.3,2016
Berlin,3782202,2016-08-24,2016-08-27,4,34.7,31.7,2016
Berlin,3782202,2016-09-10,2016-09-13,4,31.0,29.9,2016
Berlin,3782202,2017-05-27,2017-05-29,3,30.0,29.0,2017
Berlin,3782202,2018-05-27,2018-05-31,5,31.0,30.3,2018
Berlin,3782202,2018-06-07,2018-06-09,3,30.6,29.5,2018
Berlin,3782202,2018-07-24,2018-07-27,4,32.2,31.5,2018
Berlin,3782202,2018-07-29,2018-08-03,6,35.0,32.6,2018
Berlin,3782202,2018-08-06,2018-08-08,3,36.6,35.3,2018
Berlin,3782202,2018-09-17,2018-09-20,4,30.2,29.0,2018
Berlin,3782202,2019-06-01,2019-06-05,5,33.5,31.3,2019
Berlin,3782202,2019-07-23,2019-07-25,3,34.2,32.6,2019
Berlin,3782202,2019-08-24,2019-08-31,8,32.6,30.8,2019
Berlin,3782202,2020-08-06,2020-08-12,7,35.4,32.7,2020
Berlin,3782202,2020-09-13,2020-09-15,3,30.4,29.2,2020
Berlin,3782202,2021-06-16,2021-06-20,5,34.6,32.9,2021
Berlin,3782202,2023-06-06,2023-06-09,4,29.0,28.8,2023
Berlin,3782202,2023-07-07,2023-07-09,3,32.2,31.4,2023
Berlin,3782202,2023-09-05,2023-09-11,7,30.3,29.6,2023
Berlin,3782202,2024-08-27,2024-08-29,3,34.3,31.0,2024
Berlin,3782202,2024-09-02,2024-09-07,6,33.9,31.6,2024
Berlin,3782202,2025-06-30,2025-07-02,3,37.2,33.6,2025
Berlin,3782202,2025-08-12,2025-08-14,3,33.4,32.8,2025
Hamburg,1910160,1982-06-01,1982-06-04,4,30.7,30.1,1982
Hamburg,1910160,1994-07-11,1994-07-13,3,30.2,29.8,1994
Hamburg,1910160,1994-07-21,1994-07-27,7,33.4,31.4,1994
Hamburg,1910160,1995-08-20,1995-08-22,3,30.3,29.2,1995
Hamburg,1910160,2000-06-18,2000-06-20,3,32.3,31.0,2000
Hamburg,1910160,2003-08-06,2003-08-11,6,33.7,32.2,2003
Hamburg,1910160,2008-05-31,2008-06-02,3,29.3,28.7,2008
Hamburg,1910160,2008-07-26,2008-07-28,3,30.8,30.1,2008
Hamburg,1910160,2010-07-07,2010-07-11,5,34.0,32.4,2010
Hamburg,1910160,2015-07-01,2015-07-04,4,35.2,31.1,2015
Hamburg,1910160,2016-08-23,2016-08-25,3,30.2,29.4,2016
Hamburg,1910160,2016-09-11,2016-09-13,3,29.9,28.9,2016
Hamburg,1910160,2018-05-27,2018-05-31,5,30.9,29.5,2018
Hamburg,1910160,2018-07-23,2018-07-27,5,32.9,32.3,2018
Hamburg,1910160,2018-08-01,2018-08-03,3,32.2,30.5,2018
Hamburg,1910160,2018-08-05,2018-08-08,4,34.7,31.5,2018
Hamburg,1910160,2019-07-23,2019-07-25,3,34.4,32.4,2019
Hamburg,1910160,2019-08-24,2019-08-27,4,31.4,30.7,2019
Hamburg,1910160,2020-08-05,2020-08-16,12,33.2,31.2,2020
Hamburg,1910160,2021-06-16,2021-06-18,3,32.9,31.1,2021
Hamburg,1910160,2022-08-10,2022-08-14,5,31.2,30.3,2022
München,1510378,1983-07-25,1983-07-27,3,33.9,31.9,1983
München,1510378,1992-08-05,1992-08-08,4,33.2,31.3,1992
München,1510378,1992-08-17,1992-08-19,3,31.5,30.3,1992
München,1510378,1994-06-25,1994-06-27,3,29.8,29.0,1994
München,1510378,1994-08-03,1994-08-06,4,31.4,30.1,1994
München,1510378,1998-06-04,1998-06-06,3,30.1,29.0,1998
München,1510378,1999-07-02,1999-07-04,3,30.7,29.6,1999
München,1510378,2002-06-16,2002-06-20,5,30.6,29.6,2002
München,1510378,2003-06-09,2003-06-11,3,32.1,30.2,2003
München,1510378,2003-08-02,2003-08-13,12,34.8,32.0,2003
München,1510378,2006-07-18,2006-07-21,4,31.4,30.4,2006
München,1510378,2006-07-24,2006-07-26,3,31.2,30.8,2006
München,1510378,2010-07-08,2010-07-11,4,30.7,29.9,2010
München,1510378,2011-08-20,2011-08-25,6,31.4,30.0,2011
München,1510378,2012-08-18,2012-08-20,3,32.4,31.3,2012
München,1510378,2013-06-16,2013-06-19,4,32.0,31.0,2013
München,1510378,2013-07-25,2013-07-27,3,34.3,32.7,2013
München,1510378,2013-08-04,2013-08-06,3,30.5,30.0,2013
München,1510378,2014-06-07,2014-06-09,3,30.4,29.9,2014
München,1510378,2015-07-01,2015-07-04,4,32.5,30.3,2015
München,1510378,2015-08-05,2015-08-08,4,33.3,32.3,2015
München,1510378,2015-08-11,2015-08-13,3,32.7,31.5,2015
München,1510378,2015-08-26,2015-08-31,6,31.0,29.9,2015
München,1510378,2017-06-19,2017-06-21,3,30.0,29.1,2017
München,1510378,2018-07-29,2018-07-31,3,31.8,31.2,2018
München,1510378,2018-08-02,2018-08-08,7,32.8,31.2,2018
München,1510378,2019-06-24,2019-06-26,3,32.5,30.9,2019
München,1510378,2019-06-28,2019-06-30,3,32.9,30.5,2019
München,1510378,2019-07-22,2019-07-25,4,33.7,32.2,2019
München,1510378,2021-06-16,2021-06-18,3,30.4,30.0,2021
München,1510378,2022-06-17,2022-06-19,3,33.4,30.8,2022
München,1510378,2022-07-17,2022-07-19,3,35.2,32.1,2022
München,1510378,2022-08-02,2022-08-04,3,33.4,31.8,2022
München,1510378,2023-06-19,2023-06-21,3,32.0,30.3,2023
München,1510378,2023-07-08,2023-07-10,3,33.4,31.4,2023
München,1510378,2023-08-18,2023-08-24,7,31.2,30.5,2023
München,1510378,2025-06-12,2025-06-14,3,32.0,30.5,2025
München,1510378,2025-06-23,2025-06-25,3,32.4,30.7,2025
München,1510378,2025-06-28,2025-07-01,4,34.4,32.2,2025
München,1510378,2025-08-11,2025-08-14,4,33.3,31.6,2025
Köln,1024621,1990-08-01,1990-08-03,3,34.9,33.1,1990
Köln,1024621,1992-08-06,1992-08-08,3,33.8,32.3,1992
Köln,1024621,1994-08-02,1994-08-04,3,33.5,32.0,1994
Köln,1024621,1995-07-08,1995-07-10,3,32.2,31.5,1995
Köln,1024621,1996-06-05,1996-06-07,3,29.9,28.9,1996
Köln,1024621,2001-08-23,2001-08-25,3,32.9,31.0,2001
Köln,1024621,2003-08-03,2003-08-12,10,37.0,33.1,2003
Köln,1024621,2006-07-17,2006-07-21,5,34.3,31.8,2006
Köln,1024621,2006-07-24,2006-07-26,3,33.6,32.1,2006
Köln,1024621,2010-06-30,2010-07-02,3,33.1,31.9,2010
Köln,1024621,2010-07-07,2010-07-11,5,34.1,32.5,2010
Köln,1024621,2012-08-17,2012-08-19,3,34.7,31.8,2012
Köln,1024621,2015-06-30,2015-07-04,5,34.6,32.6,2015
Köln,1024621,2016-08-23,2016-08-27,5,32.3,30.6,2016
Köln,1024621,2016-09-11,2016-09-14,4,31.1,30.0,2016
Köln,1024621,2017-06-18,2017-06-21,4,34.2,30.9,2017
Köln,1024621,2018-07-23,2018-07-26,4,34.6,33.4,2018
Köln,1024621,2018-08-01,2018-08-03,3,34.2,33.1,2018
Köln,1024621,2019-06-22,2019-06-25,4,35.8,31.9,2019
Köln,1024621,2019-07-22,2019-07-25,4,38.8,36.6,2019
Köln,1024621,2019-08-23,2019-08-27,5,32.1,30.5,2019
Köln,1024621,2020-08-05,2020-08-12,8,35.8,33.3,2020
Köln,1024621,2020-09-13,2020-09-15,3,32.6,30.4,2020
Köln,1024621,2021-06-15,2021-06-18,4,34.6,32.2,2021
Köln,1024621,2022-07-17,2022-07-19,3,36.4,33.2,2022
Köln,1024621,2022-08-01,2022-08-03,3,35.0,32.8,2022
Köln,1024621,2022-08-09,2022-08-13,5,32.8,31.7,2022
Köln,1024621,2022-08-22,2022-08-24,3,32.9,31.9,2022
Köln,1024621,2023-06-08,2023-06-11,4,29.0,28.5,2023
Köln,1024621,2023-09-05,2023-09-10,6,30.2,29.3,2023
Köln,1024621,2025-06-29,2025-07-01,3,38.2,35.3,2025
Köln,1024621,2025-08-11,2025-08-14,4,34.6,32.5,2025
Frankfurt am Main,775790,1982-06-01,1982-06-04,4,30.3,29.8,1982
Frankfurt am Main,775790,1982-09-14,1982-09-16,3,29.4,29.1,1982
Frankfurt am Main,775790,1990-08-02,1990-08-04,3,34.1,33.4,1990
Frankfurt am Main,775790,1992-08-06,1992-08-08,3,35.7,34.3,1992
Frankfurt am Main,775790,1999-09-11,1999-09-14,4,29.8,29.5,1999
Frankfurt am Main,775790,2000-06-18,2000-06-20,3,32.1,31.3,2000
Frankfurt am Main,775790,2003-08-01,2003-08-12,12,37.5,35.3,2003
Frankfurt am Main,775790,2003-09-18,2003-09-21,4,30.3,28.8,2003
Frankfurt am Main,775790,2006-07-24,2006-07-26,3,34.7,34.0,2006
Frankfurt am Main,775790,2012-08-18,2012-08-20,3,34.8,33.2,2012
Frankfurt am Main,775790,2014-06-06,2014-06-09,4,33.0,31.4,2014
Frankfurt am Main,775790,2015-06-30,2015-07-04,5,37.3,35.0,2015
Frankfurt am Main,775790,2016-08-24,2016-08-27,4,34.0,32.8,2016
Frankfurt am Main,775790,2016-09-11,2016-09-14,4,31.3,30.5,2016
Frankfurt am Main,775790,2017-05-27,2017-05-29,3,31.5,30.1,2017
Frankfurt am Main,775790,2017-06-18,2017-06-21,4,35.6,33.1,2017
Frankfurt am Main,775790,2018-07-24,2018-07-26,3,34.4,33.6,2018
Frankfurt am Main,775790,2018-07-29,2018-08-03,6,35.4,34.2,2018
Frankfurt am Main,775790,2018-09-17,2018-09-19,3,30.9,29.7,2018
Frankfurt am Main,775790,2019-05-31,2019-06-04,5,31.7,30.8,2019
Frankfurt am Main,775790,2019-06-23,2019-06-26,4,37.4,33.9,2019
Frankfurt am Main,775790,2019-07-22,2019-07-25,4,38.8,37.0,2019
Frankfurt am Main,775790,2019-08-24,2019-08-28,5,32.4,31.7,2019
Frankfurt am Main,775790,2020-08-06,2020-08-11,6,36.2,34.9,2020
Frankfurt am Main,775790,2020-09-13,2020-09-15,3,30.5,30.2,2020
Frankfurt am Main,775790,2021-06-14,2021-06-18,5,34.6,33.1,2021
Frankfurt am Main,775790,2022-06-16,2022-06-18,3,35.3,33.4,2022
Frankfurt am Main,775790,2022-07-17,2022-07-19,3,36.6,35.2,2022
Frankfurt am Main,775790,2022-08-23,2022-08-25,3,32.1,31.6,2022
Frankfurt am Main,775790,2023-06-08,2023-06-10,3,29.4,29.0,2023
Frankfurt am Main,775790,2023-09-09,2023-09-11,3,29.2,28.9,2023
Frankfurt am Main,775790,2025-06-27,2025-07-01,5,38.2,34.3,2025
Frankfurt am Main,775790,2025-08-11,2025-08-14,4,35.8,34.2,2025
Stuttgart,633484,1983-07-25,1983-07-27,3,35.4,34.1,1983
Stuttgart,633484,1992-08-06,1992-08-08,3,33.8,33.0,1992
Stuttgart,633484,2000-06-18,2000-06-20,3,31.6,30.8,2000
Stuttgart,633484,2003-06-09,2003-06-11,3,33.0,30.7,2003
Stuttgart,633484,2003-08-02,2003-08-12,11,36.2,35.0,2003
Stuttgart,633484,2005-05-26,2005-05-28,3,29.4,29.1,2005
Stuttgart,633484,2006-07-18,2006-07-21,4,33.1,32.6,2006
Stuttgart,633484,2006-07-24,2006-07-26,3,33.3,33.0,2006
Stuttgart,633484,2011-08-20,2011-08-22,3,32.0,31.4,2011
Stuttgart,633484,2012-08-17,2012-08-20,4,34.6,32.9,2012
Stuttgart,633484,2013-06-16,2013-06-19,4,33.0,31.8,2013
Stuttgart,633484,2013-07-25,2013-07-27,3,34.5,33.4,2013
Stuttgart,633484,2014-06-06,2014-06-10,5,34.0,31.4,2014
Stuttgart,633484,2015-06-30,2015-07-04,5,35.6,33.5,2015
Stuttgart,633484,2015-08-05,2015-08-08,4,35.9,34.0,2015
Stuttgart,633484,2015-08-28,2015-08-30,3,31.9,31.3,2015
Stuttgart,633484,2016-08-24,2016-08-27,4,32.5,31.7,2016
Stuttgart,633484,2016-09-11,2016-09-13,3,30.1,29.7,2016
Stuttgart,633484,2017-06-19,2017-06-21,3,32.9,30.9,2017
Stuttgart,633484,2018-07-29,2018-07-31,3,33.3,32.2,2018
Stuttgart,633484,2019-06-01,2019-06-04,4,29.5,29.0,2019
Stuttgart,633484,2019-06-24,2019-06-26,3,33.2,31.9,2019
Stuttgart,633484,2019-07-22,2019-07-25,4,36.2,34.7,2019
Stuttgart,633484,2020-08-07,2020-08-11,5,32.8,32.3,2020
