grossstadt,bundesland,gs_population,Mittelstadt_name,Mittelstadt_population,Mittelstadt_lat,Mittelstadt_lon,Mittelstadt_distance_km,Mittelstadt_fallback,Kleinstadt_name,Kleinstadt_population,Kleinstadt_lat,Kleinstadt_lon,Kleinstadt_distance_km,Kleinstadt_fallback,Landgemeinde_name,Landgemeinde_population,Landgemeinde_lat,Landgemeinde_lon,Landgemeinde_distance_km,Landgemeinde_fallback
Saarbrücken,Saarland,183509,St. Ingbert,35059,49.278888888,7.115,9.8,False,Sulzbach/Saar,16368,49.283333333,7.066666666,7.4,False,Hornbach,1419,49.188055555,7.369166666,27.3,True
München,Bayern,1510378,Unterhaching,26079,48.065833333,11.61,8.4,False,Unterföhring,11957,48.191666666,11.652777777,8.3,False,Baierbrunn,3426,48.016666666,11.483333333,15.1,False
Augsburg,Bayern,303150,Gersthofen,23492,48.416666666,10.866666666,5.8,False,Stadtbergen,15614,48.366666666,10.85,3.5,False,Aystetten,3053,48.404722222,10.774166666,10.0,False
Regensburg,Bayern,151517,Schwandorf,30239,49.3236,12.09935,34.1,False,Lappersdorf,13524,49.0525,12.090277777,4.0,False,Pettendorf,3497,49.059444444,12.005833333,7.4,False
Nürnberg,Bayern,529508,Zirndorf,26257,49.45,10.95,9.2,False,Stein,14851,49.416666666,11.016666666,6.0,False,Kalchreuth,3033,49.566666666,11.133333333,13.2,False
Heidelberg,Baden-Württemberg,162960,Leimen,27286,49.348055555,8.691111111,7.3,False,Dossenheim,12534,49.449166666,8.672222222,4.9,False,Gaiberg,2429,49.365833333,8.750277777,5.9,False
Freiburg im Breisgau,Baden-Württemberg,237244,Waldkirch,22266,48.093888888,7.960833333,13.7,False,Merzhausen,5644,47.966388888,7.828611111,3.6,False,Au,1505,47.95,7.833333333,5.2,False
Mannheim,Baden-Württemberg,316877,Schwetzingen,21609,49.383333333,8.566666666,13.7,False,Ilvesheim,9280,49.4725,8.5675,7.5,False,Wilhelmsfeld,3295,49.471666666,8.755555555,21.0,False
Stuttgart,Baden-Württemberg,633484,Korntal-Münchingen,20394,48.830555555,9.121388888,7.3,False,Gerlingen,19774,48.8,9.065277777,8.8,False,Affalterbach,4524,48.921944444,9.321666666,19.1,False
Karlsruhe,Baden-Württemberg,309964,Stutensee,25311,49.064722222,8.471666666,7.5,False,Eggenstein-Leopoldshafen,16777,49.077777777,8.3925,6.8,False,Au am Rhein,3490,48.951388888,8.236388888,14.0,False
Potsdam,Brandenburg,187119,Werder (Havel),26970,52.378055555,12.935,8.8,False,Nuthetal,9269,52.348626,13.104225,6.6,False,Seddiner See,4847,52.287166666,13.000888888,13.3,False
Darmstadt,Hessen,164792,Weiterstadt,26291,49.9,8.6,5.2,False,Mühltal,13866,49.824972222,8.702194444,6.0,False,Messel,4263,49.938330555,8.740561111,10.3,False
Frankfurt am Main,Hessen,775790,Neu-Isenburg,39420,50.055763888,8.697083333,6.2,False,Steinbach (Taunus),10869,50.167777777,8.571875,10.1,False,Niederdorfelden,4289,50.195,8.8,12.6,False
Wiesbaden,Hessen,285522,Taunusstein,30820,50.143472222,8.160555555,8.8,False,Walluf,5573,50.037083333,8.154166666,7.9,False,Kiedrich,4136,50.040833333,8.084166666,12.1,False
Kassel,Hessen,204687,Baunatal,28298,51.258888888,9.418333333,8.4,False,Fuldatal,13016,51.348430555,9.525569444,4.1,False,Nieste,2119,51.313611111,9.670833333,12.0,False
Rostock,Mecklenburg-Vorpommern,210795,Güstrow,29582,53.793888888,12.176388888,32.3,False,Dummerstorf,7672,54.016666666,12.216666666,9.2,False,Roggentin,2731,54.071389,12.205556,4.9,False
Aachen,Nordrhein-Westfalen,252769,Würselen,38750,50.824722222,6.1275,6.2,False,Roetgen,8765,50.65,6.2,16.2,False,Heimbach,4349,50.633055555,6.483055555,32.3,False
Bonn,Nordrhein-Westfalen,335789,Alfter,23949,50.735555555,7.009166666,6.5,False,Swisttal,18780,50.717777777,6.920277777,13.0,False,Dahlem,4457,50.383055555,6.549722222,55.3,False
Dortmund,Nordrhein-Westfalen,595471,Schwerte,46571,51.445833333,7.565277777,10.3,False,Holzwickede,17587,51.5,7.616666666,10.6,False,Hallenberg,4488,51.112,8.6216,92.0,False
Neuss,Nordrhein-Westfalen,155163,Kaarst,44208,51.22785,6.627330555,5.6,False,Rommerskirchen,13688,51.034722222,6.691388888,18.4,False,Marienmünster,4913,51.816666666,9.183055555,185.4,False
Paderborn,Nordrhein-Westfalen,155749,Salzkotten,25283,51.670833333,8.604722222,12.3,False,Borchen,13706,51.666666666,8.733333333,6.0,False,Diemelsee,4686,51.366666666,8.8,39.0,True
Köln,Nordrhein-Westfalen,1024621,Hürth,61252,50.8775,6.876111111,9.2,False,Odenthal,15385,51.033333333,7.116666666,15.0,False,Rheinbreitbach,4538,50.620277777,7.230833333,40.6,True
Leverkusen,Nordrhein-Westfalen,166414,Monheim am Rhein,43524,51.1,6.9,9.4,False,Burscheid,19005,51.085555555,7.113611111,10.8,False,Buchholz,4801,50.689444444,7.394166666,47.9,True
Duisburg,Nordrhein-Westfalen,500810,Neukirchen-Vluyn,28110,51.441666666,6.558333333,14.1,False,Rheurdt,6544,51.466666666,6.466666666,20.8,False,Friesenhagen,1649,50.903333333,7.810555555,93.9,True
Solingen,Nordrhein-Westfalen,161545,Haan,30558,51.1954956,7.0085328,5.9,False,Hückeswagen,14770,51.145,7.341666666,18.2,False,Kircheib,536,50.709444444,7.456944444,57.7,True
Bielefeld,Nordrhein-Westfalen,338410,Steinhagen,20885,52.005,8.414722222,8.2,False,Werther (Westf.),11193,52.075,8.4125,10.5,False,Luhden,1191,52.225277777,9.092222222,44.7,True
Hagen,Nordrhein-Westfalen,190384,Herdecke,22665,51.4,7.433333333,5.4,False,Breckerfeld,9120,51.261111111,7.466666666,10.9,False,Harbach,518,50.861111111,7.846944444,61.2,True
