geoname_id,city,country,country_code,population,lat,lon,is_capital
2643743,London,United Kingdom,GB,8961989,51.50853,-0.12574,True
2950159,Berlin,Germany,DE,3426354,52.52437,13.41053,True
3117735,Madrid,Spain,ES,3255944,40.4165,-3.70256,True
703448,Kyiv,Ukraine,UA,2952301,50.45466,30.5238,True
3169070,Rome,Italy,IT,2318895,41.89193,12.51133,True
2988507,Paris,France,FR,2138551,48.85341,2.3488,True
2911298,Hamburg,Germany,DE,1973896,53.55073,9.99302,False
683506,Bucharest,Romania,RO,1877155,44.43225,26.10626,True
625144,Minsk,Belarus,BY,1742124,53.90019,27.56653,True
3054643,Budapest,Hungary,HU,1741041,47.49835,19.04045,True
756135,Warsaw,Poland,PL,1702139,52.22977,21.01178,True
2761369,Vienna,Austria,AT,1691468,48.20849,16.37208,True
3128760,Barcelona,Spain,ES,1686208,41.38879,2.15899,False
2673730,Stockholm,Sweden,SE,1515017,59.32938,18.06871,True
2867714,Munich,Germany,DE,1505005,48.13743,11.57549,False
706483,Kharkiv,Ukraine,UA,1421125,49.98177,36.25475,False
3173435,Milan,Italy,IT,1371498,45.46427,9.18951,False
792680,Belgrade,Serbia,RS,1273651,44.80401,20.46513,True
3067696,Prague,Czechia,CZ,1165581,50.08804,14.42076,True
2655603,Birmingham,United Kingdom,GB,1157603,52.48142,-1.89983,False
2618425,Copenhagen,Denmark,DK,1153615,55.67594,12.56553,True
727011,Sofia,Bulgaria,BG,1152556,42.69751,23.32415,True
3143244,Oslo,Norway,NO,1082575,59.91273,10.74609,True
2886242,Cologne,Germany,DE,1024621,50.93333,6.95,False
2964574,Dublin,Ireland,IE,1024027,53.33306,-6.24889,True
2800866,Brussels,Belgium,BE,1019022,50.85045,4.34878,True
698740,Odesa,Ukraine,UA,1010537,46.48572,30.74383,False
3046446,Pest,Hungary,HU,1001748,47.5,19.08333,False
709930,Dnipro,Ukraine,UA,968502,48.46664,35.04066,False
3172394,Naples,Italy,IT,909048,40.85216,14.26811,False
709717,Donetsk,Ukraine,UA,901645,48.023,37.80224,False
2995469,Marseille,France,FR,877215,43.29695,5.38107,False
2747891,Rotterdam,The Netherlands,NL,868135,51.9225,4.47917,False
3165524,Turin,Italy,IT,847287,45.07049,7.68682,False
2509954,Valencia,Spain,ES,824340,39.47391,-0.37966,False
3094802,Krakow,Poland,PL,816614,50.06143,19.93658,False
456172,Riga,Latvia,LV,742572,56.946,24.10589,True
2759794,Amsterdam,The Netherlands,NL,741636,52.37403,4.88969,True
702550,Lviv,Ukraine,UA,717273,49.83826,24.02324,False
687700,Zaporizhzhya,Ukraine,UA,710052,47.85167,35.11714,False
3191281,Sarajevo,Bosnia and Herzegovina,BA,696731,43.84864,18.35644,True
3104324,Zaragoza,Spain,ES,686986,41.65606,-0.87734,False
2510911,Seville,Spain,ES,686741,37.38283,-5.97317,False
3081368,Wroclaw,Poland,PL,672545,51.10286,17.03006,False
264371,Athens,Greece,GR,664046,37.98376,23.72784,True
3186886,Zagreb,Croatia,HR,663592,45.81444,15.97798,True
658225,Helsinki,Finland,FI,658864,60.16952,24.93545,True
2925533,Frankfurt am Main,Germany,DE,650000,50.11552,8.68417,False
2523920,Palermo,Italy,IT,648260,38.1166,13.3636,False
3093133,Lodz,Poland,PL,639890,51.77058,19.47395,False
618426,Chișinău,Moldova,MD,635994,47.00902,28.85938,True
2648579,Glasgow,United Kingdom,GB,626410,55.86515,-4.25763,False
2934246,Düsseldorf,Germany,DE,618685,51.22319,6.77927,False
2825297,Stuttgart,Germany,DE,612663,48.78232,9.17702,False
2711537,Gothenburg,Sweden,SE,608462,57.70716,11.96679,False
703845,Kryvyi Rih,Ukraine,UA,603904,47.90572,33.39404,False
2928810,Essen,Germany,DE,593085,51.45657,7.01228,False
2514256,Málaga,Spain,ES,592346,36.72016,-4.42034,False
2935517,Dortmund,Germany,DE,588462,51.51494,7.466,False
3176219,Genoa,Italy,IT,580097,44.40478,8.94439,False
2643123,Manchester,United Kingdom,GB,568996,53.48095,-2.23743,False
2935022,Dresden,Germany,DE,564904,51.05089,13.73832,False
2638077,Sheffield,United Kingdom,GB,556500,53.38297,-1.4659,False
694423,Sevastopol,Ukraine,UA,547820,44.60795,33.52134,False
2944388,Bremen,Germany,DE,546501,53.07582,8.80717,False
593116,Vilnius,Lithuania,LT,542366,54.68916,25.2798,True
2644688,Leeds,United Kingdom,GB,536280,53.79648,-1.54785,False
3088171,Poznan,Poland,PL,536151,52.40692,16.92993,False
2803138,Antwerp,Belgium,BE,529247,51.22047,4.40026,False
2996944,Lyon,France,FR,520774,45.74906,4.84789,False
2267057,Lisbon,Portugal,PT,517802,38.72509,-9.1498,True
2861650,Nuremberg,Germany,DE,515543,49.45421,11.07752,False
2910831,Hanover,Germany,DE,515140,52.37052,9.73322,False
2650225,Edinburgh,United Kingdom,GB,514990,55.95206,-3.19648,False
2972315,Toulouse,France,FR,511684,43.60426,1.44367,False
3054667,Buda,Hungary,HU,510108,47.5,19.03333,False
2879139,Leipzig,Germany,DE,504971,51.33962,12.37129,False
2934691,Duisburg,Germany,DE,504358,51.43247,6.76516,False
627907,Homyel,Belarus,BY,501193,52.4345,30.9754,False
