city,population,lat,lon,bundesland
Wallerfangen,9322,49.327805555,6.720805555,Saarland
Mettlach,12087,49.491666666,6.597222222,Saarland
St. Wendel,25503,49.466666666,7.166666666,Saarland
Dillingen/Saar,19941,49.357377777,6.719597222,Saarland
Schmelz,16343,49.440708333,6.857930555,Saarland
Saarwellingen,13347,49.354166666,6.805,Saarland
Tholey,12186,49.4833,7.033330555,Saarland
Beckingen,14945,49.392777777,6.700833333,Saarland
Spiesen-Elversberg,12843,49.316666666,7.133055555,Saarland
Nonnweiler,8489,49.6064638,6.96935,Saarland
Quierschied,12896,49.3167,7.05,Saarland
Schiffweiler,15537,49.370833333,7.128888888,Saarland
Überherrn,11591,49.25,6.7,Saarland
Püttlingen,18243,49.283333333,6.883333333,Saarland
Blieskastel,20202,49.237269444,7.252922222,Saarland
Bous,7058,49.275833333,6.798055555,Saarland
Wadern,15860,49.539444444,6.89,Saarland
Neunkirchen,47097,49.3448,7.179861111,Saarland
Oberthal,6008,49.516666666,7.083333333,Saarland
Ottweiler,14522,49.401419444,7.163430555,Saarland
Schwalbach,17208,49.306666666,6.823055555,Saarland
Nohfelden,9982,49.586666694,7.142777805,Saarland
Homburg,42498,49.316666666,7.333333333,Saarland
Freisen,7867,49.54927,7.25201,Saarland
Merzig,30070,49.442222222,6.6375,Saarland
Illingen,15987,49.376438888,7.052511111,Saarland
Rehlingen-Siersburg,14305,49.368611111,6.678611111,Saarland
Großrosseln,7891,49.20296,6.84148,Saarland
Losheim am See,16126,49.516666666,6.75,Saarland
Saarbrücken,183509,49.233333333,7.0,Saarland
Lebach,19108,49.41,6.91,Saarland
Wadgassen,17076,49.2667,6.783330555,Saarland
Völklingen,41632,49.252980555,6.856661111,Saarland
Weiskirchen,6334,49.556111111,6.82,Saarland
Sulzbach/Saar,16368,49.283333333,7.066666666,Saarland
Mandelbachtal,10543,49.197061111,7.142741666,Saarland
Namborn,6951,49.5167,7.133330555,Saarland
Saarlouis,34893,49.316666666,6.75,Saarland
Bexbach,17663,49.349444444,7.259444444,Saarland
Gersheim,6289,49.146666666,7.21,Saarland
Eppelborn,16507,49.4022,6.9706,Saarland
Kirkel,10090,49.283333333,7.233333333,Saarland
St. Ingbert,35059,49.278888888,7.115,Saarland
Heusweiler,18158,49.3375,6.9301,Saarland
Ensdorf,6652,49.3,6.766666666,Saarland
Riegelsberg,14331,49.305833333,6.943333333,Saarland
Perl,8905,49.473611111,6.385,Saarland
Merchweiler,9900,49.360277777,7.06,Saarland
Nalbach,9101,49.3833,6.783330555,Saarland
Friedrichsthal,9887,49.325555555,7.096111111,Saarland
Kleinblittersdorf,10786,49.158333333,7.038055555,Saarland
Marpingen,10002,49.45,7.05,Saarland
Dillingen an der Donau,20070,48.576944444,10.493888888,Bayern
Pfaffenhofen an der Ilm,27143,48.529782,11.50385,Bayern
Pegnitz,13741,49.756388888,11.545,Bayern
Zirndorf,26257,49.45,10.95,Bayern
Günzburg,21865,48.4525,10.271111111,Bayern
